# W [GeV]    S_yy [GeV^-1]
1.000000e+01    3.150025e-04
1.015366e+01    3.097739e-04
1.046809e+01    3.002860e-04
1.079226e+01    2.903432e-04
1.095810e+01    2.855990e-04
1.112648e+01    2.812068e-04
1.129744e+01    2.758765e-04
1.164730e+01    2.672643e-04
1.200799e+01    2.589218e-04
1.237985e+01    2.495443e-04
1.257007e+01    2.460910e-04
1.295934e+01    2.382445e-04
1.336066e+01    2.308143e-04
1.356595e+01    2.271098e-04
1.377440e+01    2.230474e-04
1.398606e+01    2.196229e-04
1.441917e+01    2.125574e-04
1.464074e+01    2.089208e-04
1.486570e+01    2.053109e-04
1.509413e+01    2.021656e-04
1.532606e+01    1.986571e-04
1.580067e+01    1.924199e-04
1.628998e+01    1.861202e-04
1.654029e+01    1.833437e-04
1.679444e+01    1.798737e-04
1.705250e+01    1.769510e-04
1.731453e+01    1.740366e-04
1.758058e+01    1.711749e-04
1.785072e+01    1.684260e-04
1.812501e+01    1.656293e-04
1.868629e+01    1.600177e-04
1.897342e+01    1.572169e-04
1.956099e+01    1.522315e-04
1.986155e+01    1.498230e-04
2.016674e+01    1.472605e-04
2.047662e+01    1.449360e-04
2.079126e+01    1.424984e-04
2.111073e+01    1.401572e-04
2.176448e+01    1.355149e-04
2.209891e+01    1.331716e-04
2.243848e+01    1.310438e-04
2.278326e+01    1.287944e-04
2.313334e+01    1.265343e-04
2.348881e+01    1.245563e-04
2.384973e+01    1.224060e-04
2.496612e+01    1.163216e-04
2.534974e+01    1.144038e-04
2.573926e+01    1.122968e-04
2.653634e+01    1.086548e-04
2.694409e+01    1.068306e-04
2.777849e+01    1.006132e-04
2.820533e+01    1.014765e-04
2.863872e+01    9.952843e-05
2.907878e+01    9.797208e-05
2.952560e+01    9.626335e-05
3.043993e+01    9.305769e-05
3.235443e+01    8.677048e-05
3.438934e+01    8.086797e-05
3.545430e+01    7.801140e-05
3.599908e+01    7.669018e-05
3.711389e+01    7.401914e-05
3.768417e+01    7.274353e-05
3.826321e+01    7.137129e-05
3.885116e+01    7.011965e-05
3.944814e+01    6.888824e-05
4.005429e+01    6.765265e-05
4.129467e+01    6.516720e-05
4.192920e+01    6.402632e-05
4.257347e+01    6.284049e-05
4.322765e+01    6.173395e-05
4.525110e+01    5.841825e-05
4.594642e+01    5.729155e-05
4.665242e+01    5.620397e-05
4.736927e+01    5.521642e-05
4.809713e+01    5.416819e-05
4.883618e+01    5.322398e-05
4.958659e+01    5.222697e-05
5.112217e+01    5.024011e-05
5.190770e+01    4.927712e-05
5.270530e+01    4.831721e-05
5.351516e+01    4.738963e-05
5.433746e+01    4.644255e-05
5.517240e+01    4.555137e-05
5.602016e+01    4.467140e-05
5.688096e+01    4.383078e-05
5.775498e+01    4.293544e-05
5.954351e+01    4.124856e-05
6.045844e+01    4.042747e-05
6.138743e+01    3.961598e-05
6.233070e+01    3.881184e-05
6.328846e+01    3.804707e-05
6.426093e+01    3.724251e-05
6.524835e+01    3.652261e-05
6.726894e+01    3.502361e-05
6.830258e+01    3.425034e-05
6.935210e+01    3.356364e-05
7.259842e+01    3.145525e-05
7.371395e+01    3.080982e-05
7.484662e+01    3.012907e-05
7.599669e+01    2.947550e-05
7.716444e+01    2.882689e-05
7.835013e+01    2.819508e-05
