# W [GeV]    S_yy [GeV^-1]
1.000000e+01    2.633992e-03
1.019244e+01    2.565567e-03
1.038858e+01    2.498168e-03
1.058850e+01    2.429393e-03
1.079226e+01    2.366824e-03
1.099995e+01    2.304716e-03
1.121163e+01    2.246207e-03
1.142739e+01    2.186190e-03
1.187144e+01    2.072477e-03
1.209989e+01    2.017549e-03
1.233274e+01    1.965216e-03
1.257007e+01    1.911658e-03
1.281197e+01    1.862328e-03
1.305852e+01    1.811352e-03
1.356595e+01    1.715815e-03
1.382702e+01    1.670727e-03
1.409310e+01    1.627083e-03
1.436431e+01    1.582989e-03
1.464074e+01    1.539129e-03
1.520965e+01    1.458781e-03
1.550234e+01    1.419838e-03
1.580067e+01    1.381484e-03
1.641466e+01    1.308226e-03
1.673054e+01    1.272797e-03
1.705250e+01    1.238674e-03
1.771513e+01    1.172204e-03
1.805604e+01    1.140299e-03
1.840351e+01    1.109263e-03
1.911864e+01    1.049691e-03
1.986155e+01    9.933835e-04
2.063334e+01    9.394169e-04
2.103041e+01    9.133476e-04
2.143512e+01    8.882189e-04
2.184761e+01    8.638978e-04
2.226805e+01    8.404356e-04
2.269657e+01    8.166511e-04
2.357852e+01    7.725802e-04
2.403226e+01    7.508325e-04
2.449474e+01    7.297446e-04
2.496612e+01    7.093354e-04
2.544656e+01    6.896365e-04
2.593626e+01    6.708851e-04
2.694409e+01    6.337249e-04
2.746260e+01    6.154921e-04
2.799109e+01    5.979849e-04
2.852975e+01    5.814767e-04
2.907878e+01    5.646311e-04
2.963837e+01    5.489074e-04
3.079006e+01    5.179646e-04
3.138259e+01    5.036334e-04
3.198651e+01    4.893715e-04
3.260206e+01    4.751243e-04
3.322945e+01    4.618562e-04
3.386892e+01    4.483385e-04
3.452069e+01    4.355211e-04
3.518500e+01    4.230778e-04
3.655223e+01    3.990994e-04
3.725564e+01    3.876383e-04
3.797259e+01    3.762049e-04
4.020727e+01    3.443716e-04
4.098102e+01    3.343295e-04
4.176966e+01    3.246290e-04
4.422780e+01    2.968508e-04
4.507892e+01    2.881278e-04
4.594642e+01    2.796991e-04
4.683061e+01    2.712685e-04
4.773181e+01    2.633364e-04
4.865036e+01    2.555389e-04
5.054083e+01    2.404927e-04
5.151344e+01    2.332025e-04
5.351516e+01    2.193810e-04
5.454500e+01    2.129039e-04
5.559466e+01    2.064485e-04
5.666453e+01    2.001973e-04
5.775498e+01    1.940930e-04
5.886641e+01    1.882833e-04
5.999923e+01    1.824695e-04
6.115386e+01    1.769381e-04
6.233070e+01    1.715958e-04
6.475276e+01    1.611501e-04
6.599886e+01    1.562491e-04
6.726894e+01    1.512578e-04
6.856346e+01    1.466703e-04
6.988289e+01    1.420985e-04
7.122771e+01    1.376608e-04
7.259842e+01    1.334055e-04
7.399550e+01    1.292794e-04
7.541946e+01    1.252225e-04
7.687083e+01    1.212678e-04
7.835013e+01    1.174896e-04
7.985790e+01    1.137279e-04
8.296104e+01    1.066043e-04
8.455754e+01    1.031735e-04
8.618476e+01    9.990760e-05
8.784329e+01    9.670557e-05
8.953375e+01    9.361772e-05
9.125673e+01    9.062404e-05
9.301287e+01    8.765388e-05
9.480281e+01    8.486341e-05
9.662719e+01    8.209336e-05
1.003820e+02    7.685519e-05
1.023137e+02    7.429775e-05
1.062894e+02    6.950035e-05
1.083349e+02    6.715538e-05
1.104196e+02    6.493848e-05
1.125446e+02    6.279935e-05
1.147104e+02    6.068979e-05
1.169178e+02    5.865234e-05
1.191678e+02    5.670065e-05
1.214611e+02    5.477000e-05
1.237985e+02    5.293387e-05
1.261808e+02    5.112470e-05
1.286090e+02    4.938502e-05
1.336066e+02    4.605184e-05
1.361777e+02    4.447785e-05
1.387983e+02    4.293718e-05
1.414693e+02    4.144129e-05
1.441917e+02    4.000635e-05
1.469666e+02    3.860541e-05
