# W [GeV]    S_yy [GeV^-1]
1.000000e+01    1.133073e-03
1.013819e+01    1.108841e-03
1.027828e+01    1.084154e-03
1.042031e+01    1.061757e-03
1.071029e+01    1.016192e-03
1.085829e+01    9.946688e-04
1.100834e+01    9.728765e-04
1.116046e+01    9.518774e-04
1.131468e+01    9.319179e-04
1.162955e+01    8.909936e-04
1.179025e+01    8.716759e-04
1.211836e+01    8.342849e-04
1.228582e+01    8.164408e-04
1.245559e+01    7.978248e-04
1.262771e+01    7.812125e-04
1.280220e+01    7.635655e-04
1.297911e+01    7.468747e-04
1.315847e+01    7.304576e-04
1.334030e+01    7.143207e-04
1.371154e+01    6.830419e-04
1.409310e+01    6.533201e-04
1.428785e+01    6.386695e-04
1.448529e+01    6.242205e-04
1.468546e+01    6.101889e-04
1.488839e+01    5.967074e-04
1.509413e+01    5.833135e-04
1.530271e+01    5.699684e-04
1.572855e+01    5.450636e-04
1.594590e+01    5.324815e-04
1.616625e+01    5.202911e-04
1.707852e+01    4.747483e-04
1.755379e+01    4.531100e-04
1.779636e+01    4.428630e-04
1.804228e+01    4.327241e-04
1.829160e+01    4.227810e-04
1.854436e+01    4.129640e-04
1.880062e+01    4.035783e-04
1.906042e+01    3.941779e-04
1.959084e+01    3.760575e-04
1.986155e+01    3.670542e-04
2.013601e+01    3.586661e-04
2.041427e+01    3.504190e-04
2.069636e+01    3.421472e-04
2.098236e+01    3.341354e-04
2.127231e+01    3.262728e-04
2.156626e+01    3.185187e-04
2.186428e+01    3.110503e-04
2.247272e+01    2.963797e-04
2.278326e+01    2.893506e-04
2.309809e+01    2.824577e-04
2.341728e+01    2.757898e-04
2.374087e+01    2.692059e-04
2.406894e+01    2.626866e-04
2.440154e+01    2.562621e-04
2.508059e+01    2.441604e-04
2.542717e+01    2.382110e-04
2.613476e+01    2.267331e-04
2.649591e+01    2.211174e-04
2.723324e+01    2.104828e-04
2.760957e+01    2.053254e-04
2.799109e+01    2.002248e-04
2.837789e+01    1.953960e-04
2.877004e+01    1.904355e-04
2.916760e+01    1.857603e-04
2.957065e+01    1.811268e-04
2.997928e+01    1.765633e-04
3.039355e+01    1.722429e-04
3.081355e+01    1.678610e-04
3.123935e+01    1.636941e-04
3.167103e+01    1.594642e-04
3.210868e+01    1.555011e-04
3.255238e+01    1.514857e-04
3.300221e+01    1.477506e-04
3.392060e+01    1.402887e-04
3.438934e+01    1.366538e-04
3.486455e+01    1.331451e-04
3.534633e+01    1.297313e-04
3.583477e+01    1.263812e-04
3.632996e+01    1.231021e-04
3.683199e+01    1.199207e-04
3.785696e+01    1.137368e-04
3.838009e+01    1.107560e-04
3.891045e+01    1.078313e-04
3.944814e+01    1.049922e-04
3.999326e+01    1.022739e-04
4.110620e+01    9.689679e-05
4.225011e+01    9.175728e-05
4.283395e+01    8.932948e-05
4.342585e+01    8.689835e-05
4.402594e+01    8.455809e-05
4.525110e+01    8.004540e-05
4.587641e+01    7.788515e-05
4.651036e+01    7.572207e-05
4.715307e+01    7.365146e-05
4.846525e+01    6.961588e-05
4.913497e+01    6.771942e-05
5.050231e+01    6.399522e-05
5.120018e+01    6.224716e-05
5.190770e+01    6.045314e-05
5.335220e+01    5.710124e-05
5.408945e+01    5.547494e-05
5.483689e+01    5.391125e-05
5.559466e+01    5.237191e-05
5.636291e+01    5.087837e-05
5.714176e+01    4.940890e-05
5.793138e+01    4.795780e-05
5.873192e+01    4.658907e-05
5.954351e+01    4.524127e-05
6.036632e+01    4.390341e-05
6.120050e+01    4.261899e-05
6.204621e+01    4.137425e-05
6.290360e+01    4.012221e-05
6.377284e+01    3.895243e-05
6.554752e+01    3.666304e-05
6.645330e+01    3.557155e-05
6.737159e+01    3.447998e-05
6.830258e+01    3.345113e-05
7.020331e+01    3.145954e-05
7.117343e+01    3.048724e-05
7.315406e+01    2.864192e-05
7.416494e+01    2.774615e-05
7.518980e+01    2.688382e-05
7.622882e+01    2.603931e-05
7.728220e+01    2.523013e-05
7.835013e+01    2.442723e-05
7.943282e+01    2.365771e-05
8.053048e+01    2.290572e-05
8.164330e+01    2.216872e-05
8.277149e+01    2.145528e-05
8.391528e+01    2.076415e-05
