# W [GeV]    S_yy [GeV^-1]
1.019244e+01    3.926651e-04
1.038858e+01    3.841161e-04
1.079226e+01    3.601720e-04
1.099995e+01    3.615725e-04
1.142739e+01    3.475103e-04
1.164730e+01    3.401555e-04
1.187144e+01    3.336128e-04
1.209989e+01    3.247872e-04
1.257007e+01    3.132465e-04
1.305852e+01    2.994362e-04
1.330982e+01    2.949797e-04
1.382702e+01    2.833621e-04
1.436431e+01    2.727082e-04
1.464074e+01    2.670650e-04
1.492248e+01    2.622532e-04
1.550234e+01    2.516503e-04
1.580067e+01    2.465884e-04
1.610474e+01    2.412496e-04
1.673054e+01    2.241124e-04
1.705250e+01    2.224550e-04
1.738066e+01    2.227096e-04
1.771513e+01    2.183695e-04
1.805604e+01    2.140097e-04
1.840351e+01    2.096126e-04
1.875767e+01    2.056833e-04
1.911864e+01    2.014146e-04
1.948656e+01    1.973765e-04
1.986155e+01    1.934119e-04
2.024377e+01    1.894585e-04
2.063334e+01    1.857211e-04
2.103041e+01    1.818971e-04
2.143512e+01    1.785101e-04
2.184761e+01    1.747942e-04
2.226805e+01    1.713125e-04
2.269657e+01    1.675118e-04
2.313334e+01    1.645327e-04
2.357852e+01    1.611098e-04
2.449474e+01    1.545883e-04
2.593626e+01    1.455273e-04
2.643537e+01    1.424704e-04
2.694409e+01    1.395912e-04
2.746260e+01    1.369327e-04
2.799109e+01    1.342187e-04
2.852975e+01    1.313201e-04
3.020873e+01    1.236307e-04
3.079006e+01    1.211791e-04
3.138259e+01    1.187218e-04
3.198651e+01    1.161236e-04
3.260206e+01    1.140421e-04
3.322945e+01    1.116988e-04
3.386892e+01    1.093239e-04
3.452069e+01    1.072992e-04
3.518500e+01    1.051036e-04
3.586210e+01    1.029264e-04
3.655223e+01    1.005484e-04
3.725564e+01    9.879496e-05
3.797259e+01    9.676645e-05
3.870333e+01    9.498158e-05
3.944814e+01    9.281285e-05
4.020727e+01    9.098761e-05
4.098102e+01    8.926817e-05
4.176966e+01    8.744245e-05
4.339275e+01    8.391628e-05
4.422780e+01    8.204243e-05
4.507892e+01    8.050444e-05
4.594642e+01    7.888374e-05
4.683061e+01    7.727120e-05
4.773181e+01    7.568532e-05
4.865036e+01    7.409890e-05
5.250476e+01    6.823320e-05
5.454500e+01    6.485642e-05
5.559466e+01    6.410943e-05
5.666453e+01    6.279984e-05
5.886641e+01    6.023732e-05
5.999923e+01    5.893509e-05
6.115386e+01    5.785252e-05
6.233070e+01    5.652157e-05
6.353019e+01    5.546798e-05
6.475276e+01    5.431981e-05
6.599886e+01    5.310770e-05
6.856346e+01    5.095713e-05
7.259842e+01    4.787017e-05
7.399550e+01    4.682626e-05
7.541946e+01    4.588171e-05
7.687083e+01    4.490092e-05
7.835013e+01    4.396227e-05
7.985790e+01    4.300179e-05
8.296104e+01    4.124203e-05
8.618476e+01    3.872968e-05
8.784329e+01    3.866012e-05
9.125673e+01    3.705642e-05
9.480281e+01    3.544202e-05
9.662719e+01    3.470980e-05
9.848668e+01    3.396680e-05
1.003820e+02    3.321632e-05
1.062894e+02    3.113214e-05
1.125446e+02    2.910830e-05
1.169178e+02    2.783035e-05
1.191678e+02    2.724718e-05
1.237985e+02    2.603597e-05
1.261808e+02    2.547178e-05
1.286090e+02    2.488406e-05
1.310840e+02    2.431853e-05
1.336066e+02    2.375194e-05
1.361777e+02    2.320448e-05
1.387983e+02    2.270661e-05
1.441917e+02    2.165681e-05
1.469666e+02    2.116897e-05
1.497948e+02    2.066292e-05
1.526774e+02    2.018898e-05
1.556155e+02    1.971015e-05
1.586102e+02    1.922609e-05
1.616625e+02    1.878854e-05
1.647735e+02    1.833878e-05
1.711763e+02    1.746500e-05
1.778279e+02    1.661787e-05
1.812501e+02    1.621309e-05
1.847380e+02    1.580568e-05
1.882931e+02    1.540869e-05
1.919166e+02    1.502844e-05
1.956099e+02    1.464454e-05
1.993742e+02    1.427961e-05
2.032109e+02    1.391028e-05
2.071215e+02    1.354876e-05
2.111073e+02    1.319440e-05
2.151699e+02    1.285722e-05
2.193106e+02    1.251415e-05
2.235310e+02    1.217290e-05
2.458830e+02    1.060757e-05
2.506147e+02    1.032099e-05
2.554376e+02    1.002988e-05
2.603532e+02    9.747428e-06
2.653634e+02    9.471109e-06
2.704701e+02    9.193127e-06
2.756750e+02    8.925940e-06
2.863872e+02    8.413241e-06
2.918984e+02    8.164968e-06
2.975157e+02    7.922914e-06
3.032411e+02    7.683474e-06
3.090767e+02    7.445220e-06
3.150245e+02    7.222110e-06
3.210868e+02    6.997813e-06
3.272658e+02    6.778010e-06
3.335637e+02    6.568614e-06
3.399828e+02    6.353160e-06
3.465254e+02    6.142402e-06
3.599908e+02    5.600871e-06
3.669184e+02    5.344784e-06
3.739794e+02    5.098587e-06
3.885116e+02    4.637423e-06
4.036085e+02    4.209958e-06
4.113755e+02    4.010367e-06
4.192920e+02    3.818803e-06
4.355849e+02    3.456339e-06
4.439673e+02    3.286512e-06
4.525110e+02    3.122456e-06
4.612191e+02    2.967939e-06
4.700948e+02    2.818111e-06
4.883618e+02    2.536890e-06
4.977599e+02    2.405638e-06
5.073387e+02    2.281031e-06
5.171019e+02    2.159821e-06
5.270530e+02    2.045095e-06
5.371956e+02    1.934615e-06
5.475334e+02    1.829307e-06
5.580701e+02    1.729851e-06
5.688096e+02    1.634406e-06
5.797557e+02    1.542485e-06
5.909125e+02    1.454742e-06
6.022840e+02    1.371034e-06
6.256877e+02    1.217162e-06
6.500008e+02    1.076851e-06
6.625094e+02    1.011343e-06
6.752587e+02    9.491855e-07
6.882534e+02    8.905267e-07
7.014981e+02    8.347568e-07
7.149977e+02    7.820032e-07
7.287571e+02    7.314060e-07
7.427812e+02    6.837853e-07
7.570753e+02    6.382804e-07
7.716444e+02    5.949127e-07
7.864939e+02    5.547382e-07
8.016292e+02    5.164553e-07
8.170557e+02    4.802881e-07
8.327791e+02    4.456242e-07
8.488050e+02    4.134124e-07
8.651394e+02    3.826637e-07
8.987572e+02    3.270194e-07
9.160528e+02    3.013672e-07
9.336813e+02    2.773916e-07
9.516491e+02    2.548370e-07
1.007654e+03    1.954481e-07
1.027045e+03    1.779592e-07
1.046809e+03    1.617282e-07
1.066954e+03    1.465236e-07
1.087486e+03    1.324934e-07
1.108414e+03    1.193095e-07
1.129744e+03    1.070691e-07
1.173644e+03    8.513490e-08
1.219250e+03    6.641524e-08
1.242713e+03    5.797540e-08
1.291003e+03    4.321059e-08
1.315847e+03    3.669746e-08
1.341169e+03    3.066422e-08
1.393284e+03    2.025241e-08
1.420097e+03    1.568449e-08
1.475279e+03    7.775011e-09
1.503669e+03    4.301210e-09
1.532606e+03    1.369796e-09
1.562099e+03    0.000000e+00
1.592160e+03    0.000000e+00
1.622800e+03    0.000000e+00
1.654029e+03    0.000000e+00
1.685859e+03    0.000000e+00
1.718301e+03    0.000000e+00
1.751368e+03    0.000000e+00
1.785072e+03    0.000000e+00
1.819423e+03    0.000000e+00
1.854436e+03    0.000000e+00
1.890123e+03    0.000000e+00
1.926496e+03    0.000000e+00
1.963570e+03    0.000000e+00
2.001357e+03    0.000000e+00
2.039871e+03    0.000000e+00
2.079126e+03    0.000000e+00
2.119137e+03    0.000000e+00
2.159917e+03    0.000000e+00
2.201482e+03    0.000000e+00
2.243848e+03    0.000000e+00
2.287028e+03    0.000000e+00
2.331040e+03    0.000000e+00
2.375898e+03    0.000000e+00
2.421620e+03    0.000000e+00
2.468221e+03    0.000000e+00
2.515720e+03    0.000000e+00
2.564132e+03    0.000000e+00
2.613476e+03    0.000000e+00
2.663770e+03    0.000000e+00
2.715031e+03    0.000000e+00
2.767279e+03    0.000000e+00
2.820533e+03    0.000000e+00
2.874811e+03    0.000000e+00
2.930134e+03    0.000000e+00
2.986521e+03    0.000000e+00
3.043993e+03    0.000000e+00
3.102572e+03    0.000000e+00
3.162278e+03    0.000000e+00
