# W [GeV]    S_yy [GeV^-1]
1.000000e+01    3.270562e-04
1.010765e+01    3.232880e-04
1.021646e+01    3.199817e-04
1.032643e+01    3.163161e-04
1.043760e+01    3.127796e-04
1.054996e+01    3.087727e-04
1.066352e+01    3.054230e-04
1.077831e+01    3.019795e-04
1.101162e+01    2.948294e-04
1.137107e+01    2.848847e-04
1.149348e+01    2.808816e-04
1.161721e+01    2.775730e-04
1.174226e+01    2.748777e-04
1.186867e+01    2.717899e-04
1.199643e+01    2.682440e-04
1.238804e+01    2.596427e-04
1.265618e+01    2.533793e-04
1.293013e+01    2.471326e-04
1.321001e+01    2.416237e-04
1.349595e+01    2.356191e-04
1.378808e+01    2.305926e-04
1.393650e+01    2.279042e-04
1.423817e+01    2.226052e-04
1.470295e+01    2.148145e-04
1.502120e+01    2.097439e-04
1.518290e+01    2.072038e-04
1.551155e+01    2.021991e-04
1.567853e+01    1.999903e-04
1.584730e+01    1.974569e-04
1.619033e+01    1.928832e-04
1.654077e+01    1.882914e-04
1.671883e+01    1.861311e-04
1.689881e+01    1.837280e-04
1.708072e+01    1.816745e-04
1.745044e+01    1.773473e-04
1.763829e+01    1.750726e-04
1.782817e+01    1.729512e-04
1.821407e+01    1.690112e-04
1.860832e+01    1.649950e-04
1.880864e+01    1.629732e-04
1.901111e+01    1.612086e-04
1.942261e+01    1.571942e-04
1.963170e+01    1.551174e-04
1.984303e+01    1.534687e-04
2.005663e+01    1.516392e-04
2.027254e+01    1.496916e-04
2.071135e+01    1.459560e-04
2.115966e+01    1.425360e-04
2.138744e+01    1.407454e-04
2.161767e+01    1.390011e-04
2.185038e+01    1.375263e-04
2.232335e+01    1.339310e-04
2.256365e+01    1.323542e-04
2.280655e+01    1.306802e-04
2.305206e+01    1.290299e-04
2.330021e+01    1.274707e-04
2.355103e+01    1.259333e-04
2.380455e+01    1.241971e-04
2.406081e+01    1.227384e-04
2.431982e+01    1.213061e-04
2.458162e+01    1.196948e-04
2.484623e+01    1.181871e-04
2.511370e+01    1.168012e-04
2.538404e+01    1.152339e-04
2.565730e+01    1.138643e-04
2.593349e+01    1.124540e-04
2.621266e+01    1.109580e-04
2.649484e+01    1.096522e-04
2.678005e+01    1.081618e-04
2.706833e+01    1.068977e-04
2.765424e+01    1.040968e-04
2.795194e+01    1.027831e-04
2.825284e+01    1.015787e-04
2.855697e+01    1.000738e-04
2.886438e+01    9.883522e-05
2.917510e+01    9.757117e-05
2.948917e+01    9.627834e-05
2.980661e+01    9.510675e-05
3.045180e+01    9.265991e-05
3.077960e+01    9.147631e-05
3.111094e+01    9.020058e-05
3.178435e+01    8.789881e-05
3.212651e+01    8.668904e-05
3.247234e+01    8.557815e-05
3.282190e+01    8.443439e-05
3.317523e+01    8.335856e-05
3.353235e+01    8.226433e-05
3.389332e+01    8.108025e-05
3.462696e+01    7.886753e-05
3.537648e+01    7.681038e-05
3.575730e+01    7.579489e-05
3.653129e+01    7.370698e-05
3.692454e+01    7.272419e-05
3.732203e+01    7.174799e-05
3.772380e+01    7.069969e-05
3.812989e+01    6.975128e-05
3.854035e+01    6.877827e-05
3.895523e+01    6.781496e-05
3.937458e+01    6.687053e-05
4.022686e+01    6.504368e-05
4.065990e+01    6.410719e-05
4.109759e+01    6.322130e-05
4.289601e+01    5.959036e-05
4.335778e+01    5.882104e-05
4.382452e+01    5.793403e-05
4.429628e+01    5.709028e-05
4.477312e+01    5.623705e-05
4.574226e+01    5.460453e-05
4.623467e+01    5.382436e-05
4.673238e+01    5.300199e-05
4.723544e+01    5.222749e-05
4.774392e+01    5.145234e-05
4.825788e+01    5.065190e-05
4.877737e+01    4.991668e-05
4.930245e+01    4.911841e-05
5.036963e+01    4.763673e-05
5.091185e+01    4.691738e-05
5.145991e+01    4.619729e-05
5.257378e+01    4.477273e-05
5.313973e+01    4.405700e-05
5.371177e+01    4.337249e-05
5.487439e+01    4.202681e-05
5.546511e+01    4.135142e-05
5.606218e+01    4.066984e-05
5.666568e+01    4.003210e-05
5.727568e+01    3.939689e-05
5.789224e+01    3.872848e-05
5.851544e+01    3.808977e-05
5.978204e+01    3.684966e-05
6.042558e+01    3.625632e-05
6.107605e+01    3.565125e-05
6.239808e+01    3.446341e-05
6.306978e+01    3.390641e-05
6.374872e+01    3.331302e-05
6.443496e+01    3.277134e-05
6.512860e+01    3.220643e-05
6.582969e+01    3.165008e-05
6.725461e+01    3.056400e-05
6.797860e+01    3.004888e-05
6.945003e+01    2.899022e-05
7.019765e+01    2.846444e-05
7.095332e+01    2.797189e-05
7.171712e+01    2.746671e-05
7.248914e+01    2.699077e-05
7.326947e+01    2.648437e-05
7.405821e+01    2.597801e-05
7.485543e+01    2.545686e-05
7.566124e+01    2.481989e-05
7.647572e+01    2.419773e-05
7.729897e+01    2.357853e-05
7.813108e+01    2.297114e-05
7.897215e+01    2.239078e-05
7.982227e+01    2.179795e-05
8.155007e+01    2.069957e-05
8.242794e+01    2.014101e-05
8.421214e+01    1.910453e-05
8.511867e+01    1.860746e-05
8.603496e+01    1.812123e-05
8.696111e+01    1.762680e-05
8.789723e+01    1.716178e-05
8.884343e+01    1.669995e-05
9.174358e+01    1.538042e-05
9.273118e+01    1.495548e-05
9.372942e+01    1.454603e-05
9.473840e+01    1.414423e-05
9.575825e+01    1.375325e-05
9.678907e+01    1.337257e-05
9.888412e+01    1.263758e-05
9.994859e+01    1.227350e-05
1.010245e+02    1.192352e-05
1.021120e+02    1.158883e-05
