# W [GeV]    S_yy [GeV^-1]
1.000000e+01    1.502943e-03
1.030968e+01    1.434470e-03
1.062894e+01    1.370527e-03
1.079226e+01    1.338767e-03
1.112648e+01    1.279040e-03
1.129744e+01    1.248820e-03
1.147104e+01    1.220569e-03
1.164730e+01    1.192632e-03
1.182627e+01    1.164465e-03
1.200799e+01    1.137717e-03
1.219250e+01    1.111692e-03
1.237985e+01    1.085554e-03
1.257007e+01    1.060708e-03
1.276322e+01    1.035632e-03
1.295934e+01    1.011772e-03
1.315847e+01    9.879631e-04
1.336066e+01    9.647497e-04
1.356595e+01    9.427842e-04
1.377440e+01    9.205210e-04
1.398606e+01    8.989006e-04
1.420097e+01    8.776911e-04
1.464074e+01    8.367897e-04
1.486570e+01    8.170543e-04
1.509413e+01    7.977928e-04
1.532606e+01    7.792719e-04
1.556155e+01    7.606362e-04
1.580067e+01    7.418130e-04
1.628998e+01    7.071303e-04
1.654029e+01    6.900088e-04
1.679444e+01    6.740049e-04
1.705250e+01    6.571232e-04
1.758058e+01    6.259571e-04
1.785072e+01    6.111068e-04
1.812501e+01    5.960435e-04
1.840351e+01    5.817759e-04
1.868629e+01    5.674637e-04
1.897342e+01    5.537039e-04
1.926496e+01    5.402869e-04
1.956099e+01    5.269715e-04
1.986155e+01    5.141898e-04
2.016674e+01    5.011681e-04
2.047662e+01    4.889146e-04
2.079126e+01    4.771204e-04
2.111073e+01    4.654143e-04
2.143512e+01    4.538094e-04
2.209891e+01    4.312879e-04
2.243848e+01    4.207582e-04
2.278326e+01    4.103422e-04
2.313334e+01    3.999531e-04
2.348881e+01    3.899152e-04
2.384973e+01    3.800401e-04
2.421620e+01    3.704991e-04
2.458830e+01    3.611250e-04
2.496612e+01    3.520705e-04
2.573926e+01    3.343353e-04
2.613476e+01    3.257175e-04
2.653634e+01    3.175363e-04
2.694409e+01    3.094078e-04
2.735811e+01    3.014215e-04
2.777849e+01    2.936073e-04
2.820533e+01    2.861441e-04
2.863872e+01    2.784795e-04
2.907878e+01    2.714213e-04
2.952560e+01    2.643024e-04
2.997928e+01    2.574908e-04
3.043993e+01    2.507367e-04
3.090767e+01    2.441640e-04
3.138259e+01    2.377094e-04
3.186480e+01    2.314986e-04
3.235443e+01    2.255221e-04
3.285158e+01    2.195299e-04
3.335637e+01    2.136043e-04
3.386892e+01    2.079088e-04
3.491776e+01    1.969628e-04
3.545430e+01    1.917244e-04
3.599908e+01    1.865690e-04
3.711389e+01    1.766388e-04
3.768417e+01    1.718607e-04
3.826321e+01    1.670951e-04
3.944814e+01    1.581919e-04
4.005429e+01    1.538260e-04
4.066975e+01    1.496755e-04
4.192920e+01    1.414651e-04
4.322765e+01    1.336850e-04
4.389187e+01    1.299403e-04
4.594642e+01    1.193669e-04
4.665242e+01    1.159287e-04
4.736927e+01    1.127238e-04
4.809713e+01    1.095015e-04
4.958659e+01    1.033756e-04
5.112217e+01    9.748895e-05
5.190770e+01    9.466620e-05
5.270530e+01    9.194707e-05
5.351516e+01    8.929380e-05
5.433746e+01    8.670098e-05
5.517240e+01    8.413955e-05
5.602016e+01    8.168450e-05
5.688096e+01    7.926953e-05
5.775498e+01    7.695815e-05
5.864242e+01    7.462913e-05
5.954351e+01    7.245683e-05
6.138743e+01    6.820589e-05
6.233070e+01    6.613602e-05
6.524835e+01    6.033459e-05
6.625094e+01    5.850574e-05
6.726894e+01    5.671303e-05
6.830258e+01    5.496943e-05
6.935210e+01    5.328829e-05
7.149977e+01    5.003686e-05
7.259842e+01    4.851058e-05
7.371395e+01    4.699697e-05
7.484662e+01    4.551975e-05
7.599669e+01    4.408988e-05
7.716444e+01    4.268651e-05
7.835013e+01    4.135510e-05
7.955404e+01    4.003144e-05
8.077645e+01    3.874636e-05
8.201764e+01    3.751584e-05
8.327791e+01    3.630993e-05
8.455754e+01    3.514318e-05
8.585683e+01    3.400150e-05
8.717608e+01    3.289942e-05
8.851561e+01    3.183372e-05
8.987572e+01    3.078591e-05
9.125673e+01    2.977296e-05
9.265896e+01    2.879549e-05
9.408273e+01    2.783605e-05
9.552839e+01    2.690428e-05
9.699626e+01    2.600335e-05
9.848668e+01    2.514225e-05
1.000000e+02    2.429201e-05
1.015366e+02    2.347083e-05
1.030968e+02    2.266669e-05
1.046809e+02    2.189551e-05
1.079226e+02    2.041918e-05
1.095810e+02    1.970687e-05
1.129744e+02    1.835697e-05
1.147104e+02    1.770841e-05
1.164730e+02    1.708805e-05
1.182627e+02    1.648533e-05
1.200799e+02    1.590004e-05
1.219250e+02    1.533006e-05
1.237985e+02    1.478009e-05
1.257007e+02    1.424912e-05
1.276322e+02    1.372647e-05
1.295934e+02    1.322571e-05
1.336066e+02    1.227815e-05
1.356595e+02    1.182156e-05
1.377440e+02    1.137802e-05
1.398606e+02    1.095628e-05
1.420097e+02    1.054552e-05
1.441917e+02    1.014702e-05
1.464074e+02    9.763642e-06
1.486570e+02    9.389144e-06
1.509413e+02    9.028341e-06
1.532606e+02    8.685139e-06
1.556155e+02    8.347330e-06
1.580067e+02    8.017740e-06
1.604346e+02    7.702126e-06
1.628998e+02    7.399363e-06
1.679444e+02    6.823892e-06
1.705250e+02    6.550641e-06
1.758058e+02    6.030566e-06
1.785072e+02    5.784601e-06
1.812501e+02    5.547715e-06
1.840351e+02    5.316281e-06
1.868629e+02    5.095906e-06
1.897342e+02    4.881745e-06
1.926496e+02    4.677095e-06
1.956099e+02    4.479232e-06
1.986155e+02    4.287567e-06
2.016674e+02    4.104607e-06
2.079126e+02    3.755037e-06
2.111073e+02    3.593120e-06
2.143512e+02    3.433202e-06
2.176448e+02    3.280710e-06
2.209891e+02    3.134541e-06
2.243848e+02    2.992289e-06
2.278326e+02    2.856515e-06
2.313334e+02    2.727456e-06
2.348881e+02    2.600864e-06
2.384973e+02    2.481018e-06
2.421620e+02    2.364797e-06
2.458830e+02    2.252872e-06
2.534974e+02    2.044466e-06
2.573926e+02    1.945160e-06
2.613476e+02    1.851275e-06
2.653634e+02    1.760980e-06
2.735811e+02    1.591214e-06
2.777849e+02    1.511153e-06
2.820533e+02    1.435375e-06
2.863872e+02    1.362019e-06
2.907878e+02    1.292185e-06
2.952560e+02    1.225265e-06
2.997928e+02    1.161095e-06
3.090767e+02    1.041528e-06
3.186480e+02    9.320604e-07
3.235443e+02    8.815557e-07
3.335637e+02    7.868475e-07
3.386892e+02    7.422633e-07
3.491776e+02    6.600124e-07
3.599908e+02    5.855089e-07
3.711389e+02    5.179450e-07
3.768417e+02    4.867689e-07
3.826321e+02    4.570402e-07
3.885116e+02    4.290194e-07
3.944814e+02    4.021891e-07
4.005429e+02    3.769416e-07
4.066975e+02    3.527817e-07
4.192920e+02    3.084680e-07
4.322765e+02    2.688498e-07
4.456630e+02    2.333421e-07
4.525110e+02    2.171279e-07
4.594642e+02    2.019661e-07
4.665242e+02    1.875215e-07
4.809713e+02    1.612042e-07
4.883618e+02    1.491561e-07
4.958659e+02    1.379650e-07
5.034853e+02    1.273529e-07
5.112217e+02    1.174872e-07
5.190770e+02    1.081392e-07
5.270530e+02    9.945624e-08
5.433746e+02    8.370758e-08
5.517240e+02    7.663284e-08
5.602016e+02    7.002418e-08
5.688096e+02    6.385259e-08
5.775498e+02    5.814809e-08
5.864242e+02    5.278991e-08
5.954351e+02    4.787789e-08
6.045844e+02    4.331694e-08
6.138743e+02    3.908147e-08
6.328846e+02    3.158423e-08
6.426093e+02    2.827866e-08
6.524835e+02    2.523452e-08
6.625094e+02    2.244398e-08
6.726894e+02    1.988883e-08
6.830258e+02    1.756735e-08
6.935210e+02    1.545339e-08
7.149977e+02    1.180439e-08
