# W [GeV]    S_yy [GeV^-1]
1.000000e+01    2.632572e-03
1.014387e+01    2.581284e-03
1.028980e+01    2.530103e-03
1.043783e+01    2.481364e-03
1.058800e+01    2.429919e-03
1.089484e+01    2.335770e-03
1.105158e+01    2.290433e-03
1.121057e+01    2.244422e-03
1.137185e+01    2.200601e-03
1.170141e+01    2.114613e-03
1.186975e+01    2.073156e-03
1.204052e+01    2.031731e-03
1.221374e+01    1.991681e-03
1.238945e+01    1.951746e-03
1.256769e+01    1.910852e-03
1.274850e+01    1.873098e-03
1.293191e+01    1.837778e-03
1.311795e+01    1.800930e-03
1.330667e+01    1.764196e-03
1.349811e+01    1.728831e-03
1.369230e+01    1.694842e-03
1.388929e+01    1.659277e-03
1.408910e+01    1.627307e-03
1.449741e+01    1.562736e-03
1.470597e+01    1.531305e-03
1.491754e+01    1.500434e-03
1.513215e+01    1.470546e-03
1.534985e+01    1.440395e-03
1.557068e+01    1.410220e-03
1.579469e+01    1.382814e-03
1.602192e+01    1.354233e-03
1.625242e+01    1.327588e-03
1.648624e+01    1.299775e-03
1.672342e+01    1.274315e-03
1.696401e+01    1.247990e-03
1.720806e+01    1.221723e-03
1.770675e+01    1.173208e-03
1.796149e+01    1.149162e-03
1.848202e+01    1.102397e-03
1.874791e+01    1.080131e-03
1.901763e+01    1.057626e-03
1.929122e+01    1.035774e-03
1.956876e+01    1.014929e-03
1.985029e+01    9.940049e-04
2.013586e+01    9.731312e-04
2.042555e+01    9.533965e-04
2.071940e+01    9.340183e-04
2.101748e+01    9.141475e-04
2.131985e+01    8.955536e-04
2.162657e+01    8.770396e-04
2.193770e+01    8.580794e-04
2.225331e+01    8.407344e-04
2.257345e+01    8.231397e-04
2.289821e+01    8.062486e-04
2.322763e+01    7.895820e-04
2.356180e+01    7.732008e-04
2.390077e+01    7.570608e-04
2.424462e+01    7.411334e-04
2.459342e+01    7.251763e-04
2.494723e+01    7.102900e-04
2.530613e+01    6.954043e-04
2.567020e+01    6.807879e-04
2.603951e+01    6.661751e-04
2.679413e+01    6.387538e-04
2.717961e+01    6.253462e-04
2.757063e+01    6.122863e-04
2.796727e+01    5.990048e-04
2.836963e+01    5.860844e-04
2.877777e+01    5.735780e-04
2.919178e+01    5.618042e-04
2.961175e+01    5.498641e-04
3.090825e+01    5.154939e-04
3.135291e+01    5.041322e-04
3.180397e+01    4.935835e-04
3.226152e+01    4.829744e-04
3.272565e+01    4.726078e-04
3.319646e+01    4.625416e-04
3.367404e+01    4.525523e-04
3.415850e+01    4.426879e-04
3.464992e+01    4.332404e-04
3.514841e+01    4.236164e-04
3.565408e+01    4.145223e-04
3.616701e+01    4.054996e-04
3.668733e+01    3.968842e-04
3.721514e+01    3.880534e-04
3.884454e+01    3.636435e-04
3.940338e+01    3.554431e-04
3.997026e+01    3.475643e-04
4.054529e+01    3.399821e-04
4.112860e+01    3.325135e-04
4.172030e+01    3.253045e-04
4.292935e+01    3.110145e-04
4.354696e+01    3.040448e-04
4.417345e+01    2.974289e-04
4.480895e+01    2.910309e-04
4.545360e+01    2.843938e-04
4.610751e+01    2.779852e-04
4.677084e+01    2.718519e-04
4.744371e+01    2.658042e-04
4.812626e+01    2.598391e-04
4.952096e+01    2.483842e-04
5.023340e+01    2.428069e-04
5.095608e+01    2.374181e-04
5.168916e+01    2.319927e-04
5.243279e+01    2.267908e-04
5.318712e+01    2.216089e-04
5.395230e+01    2.166596e-04
5.472848e+01    2.117563e-04
5.551583e+01    2.069228e-04
5.712469e+01    1.977091e-04
5.794651e+01    1.930102e-04
5.878016e+01    1.886742e-04
5.962580e+01    1.843782e-04
6.048361e+01    1.801790e-04
6.135376e+01    1.759709e-04
6.223643e+01    1.719426e-04
6.313180e+01    1.678860e-04
6.404004e+01    1.641387e-04
6.496136e+01    1.603152e-04
6.589593e+01    1.566247e-04
6.684394e+01    1.530088e-04
6.780559e+01    1.494927e-04
6.878108e+01    1.459144e-04
6.977060e+01    1.425549e-04
7.077436e+01    1.391816e-04
7.179255e+01    1.359398e-04
7.387310e+01    1.295402e-04
7.493588e+01    1.265364e-04
7.601395e+01    1.235388e-04
7.710753e+01    1.205752e-04
7.821684e+01    1.178217e-04
7.934211e+01    1.150368e-04
8.048356e+01    1.122848e-04
8.164144e+01    1.095358e-04
8.281598e+01    1.069618e-04
8.400741e+01    1.043928e-04
8.521599e+01    1.019065e-04
8.644195e+01    9.942881e-05
8.768555e+01    9.702254e-05
8.894704e+01    9.465043e-05
9.022668e+01    9.238641e-05
9.152473e+01    9.013257e-05
9.284145e+01    8.794977e-05
9.417712e+01    8.580220e-05
9.553200e+01    8.371897e-05
9.690638e+01    8.165952e-05
9.830052e+01    7.967470e-05
9.971473e+01    7.772968e-05
1.026045e+02    7.392546e-05
1.040806e+02    7.210685e-05
1.055779e+02    7.031680e-05
1.070968e+02    6.857693e-05
1.086376e+02    6.685846e-05
1.102005e+02    6.519400e-05
1.117859e+02    6.354370e-05
1.133941e+02    6.196535e-05
1.150255e+02    6.039394e-05
1.166803e+02    5.884375e-05
1.183589e+02    5.740098e-05
1.200617e+02    5.594038e-05
1.217890e+02    5.450025e-05
1.235411e+02    5.311503e-05
1.271213e+02    5.044269e-05
1.289501e+02    4.914324e-05
1.308053e+02    4.786475e-05
1.326871e+02    4.664155e-05
1.345960e+02    4.542877e-05
1.365324e+02    4.425541e-05
1.384966e+02    4.310705e-05
1.404891e+02    4.198520e-05
1.425103e+02    4.088612e-05
1.445605e+02    3.980724e-05
1.466402e+02    3.877114e-05
1.487499e+02    3.775424e-05
1.530606e+02    3.577709e-05
1.552627e+02    3.482043e-05
1.574963e+02    3.389147e-05
1.597622e+02    3.299315e-05
1.620606e+02    3.209716e-05
1.643921e+02    3.122497e-05
1.667571e+02    3.038659e-05
1.691562e+02    2.957217e-05
1.715897e+02    2.876991e-05
1.740583e+02    2.799236e-05
1.765624e+02    2.723215e-05
1.791025e+02    2.646832e-05
1.816792e+02    2.573959e-05
1.842929e+02    2.504726e-05
1.869443e+02    2.434641e-05
1.896337e+02    2.367398e-05
1.923619e+02    2.301791e-05
1.951293e+02    2.236898e-05
1.979366e+02    2.174533e-05
2.007842e+02    2.113591e-05
2.036728e+02    2.053958e-05
2.066029e+02    1.995607e-05
2.095752e+02    1.939384e-05
2.125903e+02    1.883344e-05
2.156487e+02    1.830233e-05
2.187512e+02    1.777399e-05
2.218982e+02    1.725589e-05
2.250906e+02    1.676408e-05
2.283289e+02    1.627137e-05
2.316137e+02    1.580635e-05
2.349458e+02    1.534533e-05
2.383259e+02    1.489848e-05
2.417546e+02    1.445592e-05
2.452326e+02    1.403120e-05
2.487606e+02    1.361225e-05
2.523394e+02    1.321115e-05
2.559697e+02    1.281592e-05
2.596522e+02    1.242707e-05
2.633877e+02    1.205467e-05
2.671770e+02    1.169373e-05
2.710207e+02    1.133508e-05
2.749198e+02    1.098772e-05
2.788749e+02    1.065531e-05
2.828869e+02    1.032888e-05
2.869567e+02    1.000920e-05
2.995207e+02    9.110847e-06
3.038297e+02    8.820207e-06
3.126347e+02    8.273909e-06
3.171325e+02    8.009924e-06
3.216949e+02    7.757019e-06
3.263230e+02    7.508499e-06
3.310176e+02    7.264273e-06
3.357798e+02    7.030646e-06
3.504814e+02    6.368150e-06
3.555236e+02    6.157976e-06
3.606384e+02    5.952460e-06
3.658267e+02    5.756068e-06
3.710897e+02    5.564233e-06
3.764284e+02    5.375863e-06
3.818439e+02    5.197830e-06
3.873373e+02    5.021206e-06
3.985624e+02    4.684040e-06
4.042963e+02    4.524443e-06
4.101127e+02    4.366939e-06
4.219978e+02    4.068463e-06
4.280689e+02    3.926439e-06
4.342273e+02    3.787309e-06
4.404743e+02    3.652827e-06
4.468112e+02    3.522963e-06
4.532393e+02    3.396977e-06
4.597598e+02    3.276459e-06
4.663742e+02    3.157058e-06
4.730837e+02    3.040513e-06
4.798897e+02    2.930671e-06
4.867937e+02    2.822894e-06
4.937969e+02    2.718546e-06
5.009010e+02    2.617511e-06
5.081072e+02    2.519405e-06
5.154171e+02    2.424259e-06
5.228321e+02    2.333672e-06
5.303539e+02    2.244301e-06
5.457236e+02    2.075327e-06
5.535746e+02    1.994488e-06
5.615386e+02    1.917468e-06
5.696172e+02    1.841843e-06
5.778121e+02    1.768937e-06
5.861248e+02    1.699530e-06
5.945571e+02    1.631089e-06
6.117874e+02    1.501615e-06
6.205889e+02    1.440406e-06
6.295170e+02    1.381601e-06
6.385735e+02    1.324421e-06
6.477604e+02    1.269820e-06
6.570794e+02    1.216237e-06
6.665325e+02    1.165141e-06
6.761216e+02    1.115616e-06
6.858486e+02    1.068204e-06
6.957156e+02    1.022094e-06
7.158775e+02    9.354026e-07
7.261765e+02    8.942006e-07
7.366236e+02    8.547071e-07
7.472211e+02    8.165413e-07
7.688756e+02    7.443420e-07
7.799371e+02    7.104945e-07
7.911576e+02    6.781311e-07
8.025397e+02    6.464223e-07
8.140854e+02    6.164387e-07
8.497289e+02    5.328802e-07
8.619536e+02    5.073605e-07
8.743541e+02    4.826749e-07
8.869330e+02    4.588628e-07
8.996929e+02    4.361449e-07
9.257660e+02    3.936919e-07
9.390846e+02    3.738057e-07
9.525948e+02    3.547614e-07
9.662993e+02    3.363971e-07
9.802010e+02    3.188563e-07
9.943027e+02    3.021479e-07
1.008607e+03    2.860940e-07
1.023118e+03    2.707545e-07
1.037837e+03    2.562187e-07
1.052768e+03    2.421856e-07
1.067913e+03    2.287498e-07
1.083277e+03    2.160967e-07
1.098861e+03    2.040146e-07
1.114670e+03    1.924019e-07
1.130706e+03    1.814007e-07
1.146973e+03    1.708954e-07
1.163474e+03    1.608008e-07
1.180213e+03    1.513377e-07
1.197192e+03    1.422849e-07
1.214415e+03    1.337210e-07
1.231887e+03    1.255485e-07
1.249609e+03    1.177806e-07
1.285823e+03    1.033910e-07
1.323086e+03    9.050286e-08
1.342121e+03    8.458037e-08
1.361429e+03    7.892450e-08
1.381015e+03    7.361827e-08
1.400883e+03    6.859175e-08
1.421037e+03    6.385501e-08
1.441481e+03    5.937633e-08
1.483255e+03    5.116907e-08
1.504594e+03    4.740244e-08
1.526240e+03    4.388271e-08
1.548197e+03    4.055828e-08
1.593064e+03    3.453986e-08
1.615983e+03    3.179193e-08
1.639231e+03    2.922220e-08
1.662814e+03    2.682399e-08
1.686736e+03    2.458158e-08
1.711002e+03    2.247529e-08
1.735618e+03    2.052391e-08
1.760587e+03    1.869957e-08
1.785916e+03    1.700989e-08
1.811609e+03    1.542358e-08
1.837672e+03    1.397209e-08
1.864110e+03    1.261958e-08
1.890928e+03    1.136489e-08
1.918132e+03    1.020847e-08
1.945727e+03    9.142775e-09
1.973719e+03    8.167440e-09
2.002114e+03    7.271045e-09
2.030918e+03    6.446808e-09
2.060135e+03    5.697562e-09
2.089774e+03    5.011490e-09
2.119838e+03    4.394252e-09
2.150335e+03    3.833099e-09
2.181271e+03    3.327159e-09
2.212652e+03    2.872834e-09
2.244485e+03    2.466355e-09
2.276775e+03    2.104269e-09
2.309530e+03    1.784161e-09
2.376460e+03    1.254273e-09
2.410649e+03    1.038595e-09
2.445330e+03    8.529235e-10
2.480510e+03    6.933789e-10
2.516196e+03    5.576048e-10
2.552395e+03    4.433947e-10
2.589115e+03    3.481482e-10
2.626364e+03    2.694768e-10
2.664148e+03    2.053819e-10
2.702476e+03    1.539726e-10
2.741355e+03    1.131728e-10
2.780793e+03    8.144726e-11
2.820799e+03    5.721784e-11
2.861381e+03    3.910049e-11
2.902546e+03    2.592001e-11
2.944304e+03    1.654578e-11
2.986662e+03    1.010884e-11
3.029630e+03    5.857256e-12
3.073216e+03    3.173612e-12
3.117429e+03    1.579035e-12
3.162278e+03    6.961247e-13
