# W [GeV]    S_yy [GeV^-1]
1.000000e+01    1.132921e-03
1.008598e+01    1.117341e-03
1.026017e+01    1.087418e-03
1.034840e+01    1.073272e-03
1.043737e+01    1.058776e-03
1.061763e+01    1.030483e-03
1.070893e+01    1.016538e-03
1.080101e+01    1.003213e-03
1.089388e+01    9.890357e-04
1.098755e+01    9.761784e-04
1.108202e+01    9.622410e-04
1.117731e+01    9.498496e-04
1.127342e+01    9.365072e-04
1.137035e+01    9.236105e-04
1.146812e+01    9.111989e-04
1.166618e+01    8.869532e-04
1.176649e+01    8.751524e-04
1.186766e+01    8.628023e-04
1.196970e+01    8.512242e-04
1.217643e+01    8.282769e-04
1.228112e+01    8.166212e-04
1.238672e+01    8.055684e-04
1.249323e+01    7.943578e-04
1.260065e+01    7.834848e-04
1.270899e+01    7.725678e-04
1.281827e+01    7.620302e-04
1.292848e+01    7.517486e-04
1.315177e+01    7.308605e-04
1.337891e+01    7.108330e-04
1.349394e+01    7.012557e-04
1.372699e+01    6.817486e-04
1.384502e+01    6.720660e-04
1.396407e+01    6.631092e-04
1.408413e+01    6.539030e-04
1.420523e+01    6.444148e-04
1.432738e+01    6.356423e-04
1.445057e+01    6.268570e-04
1.457482e+01    6.178947e-04
1.470014e+01    6.093220e-04
1.482654e+01    6.005255e-04
1.495402e+01    5.921762e-04
1.508260e+01    5.841169e-04
1.521228e+01    5.758989e-04
1.534309e+01    5.678128e-04
1.547501e+01    5.596906e-04
1.560807e+01    5.517648e-04
1.574227e+01    5.439793e-04
1.601415e+01    5.285842e-04
1.615185e+01    5.211632e-04
1.629073e+01    5.137776e-04
1.643080e+01    5.065714e-04
1.657208e+01    4.994576e-04
1.671457e+01    4.922429e-04
1.685829e+01    4.853531e-04
1.700324e+01    4.786552e-04
1.729690e+01    4.645956e-04
1.744562e+01    4.580423e-04
1.759563e+01    4.515978e-04
1.774692e+01    4.450055e-04
1.789952e+01    4.386118e-04
1.805342e+01    4.322572e-04
1.820865e+01    4.259840e-04
1.836522e+01    4.197750e-04
1.852313e+01    4.139109e-04
1.916846e+01    3.903939e-04
1.933328e+01    3.844682e-04
1.949951e+01    3.791375e-04
1.966718e+01    3.734698e-04
1.983628e+01    3.679177e-04
2.017887e+01    3.573875e-04
2.035237e+01    3.521567e-04
2.052737e+01    3.470061e-04
2.070387e+01    3.418157e-04
2.088189e+01    3.368075e-04
2.106144e+01    3.319328e-04
2.124254e+01    3.269831e-04
2.142519e+01    3.220761e-04
2.160941e+01    3.173856e-04
2.179521e+01    3.128023e-04
2.198262e+01    3.082076e-04
2.217163e+01    3.034409e-04
2.255455e+01    2.945351e-04
2.294408e+01    2.858957e-04
2.314136e+01    2.815653e-04
2.334034e+01    2.771958e-04
2.374344e+01    2.688880e-04
2.394759e+01    2.649821e-04
2.415350e+01    2.609441e-04
2.436119e+01    2.571210e-04
2.457065e+01    2.532336e-04
2.478192e+01    2.492250e-04
2.499500e+01    2.455392e-04
2.520992e+01    2.417621e-04
2.564531e+01    2.344820e-04
2.586582e+01    2.310383e-04
2.608822e+01    2.274356e-04
2.631254e+01    2.239268e-04
2.653878e+01    2.205933e-04
2.699712e+01    2.137695e-04
2.722925e+01    2.104892e-04
2.746338e+01    2.072630e-04
2.769952e+01    2.040656e-04
2.793769e+01    2.009877e-04
2.817791e+01    1.977862e-04
2.842019e+01    1.947521e-04
2.866456e+01    1.917246e-04
2.915961e+01    1.857837e-04
2.941034e+01    1.829204e-04
2.966322e+01    1.801276e-04
2.991827e+01    1.772047e-04
3.043498e+01    1.717831e-04
3.069667e+01    1.690096e-04
3.096061e+01    1.664450e-04
3.149532e+01    1.611797e-04
3.203926e+01    1.560923e-04
3.231475e+01    1.536061e-04
3.259260e+01    1.511730e-04
3.287285e+01    1.488049e-04
3.315550e+01    1.464416e-04
3.344058e+01    1.441114e-04
3.372811e+01    1.417360e-04
3.401812e+01    1.395186e-04
3.431062e+01    1.372572e-04
3.460564e+01    1.350801e-04
3.490319e+01    1.328674e-04
3.520330e+01    1.307764e-04
3.550599e+01    1.286141e-04
3.581128e+01    1.265446e-04
3.611920e+01    1.244603e-04
3.642976e+01    1.224409e-04
3.674300e+01    1.204955e-04
3.705893e+01    1.185293e-04
3.737757e+01    1.165360e-04
3.769896e+01    1.146863e-04
3.835004e+01    1.109525e-04
3.867979e+01    1.091190e-04
3.901237e+01    1.073043e-04
3.934782e+01    1.055610e-04
3.968614e+01    1.038190e-04
4.002738e+01    1.020737e-04
4.037155e+01    1.004021e-04
4.071868e+01    9.870454e-05
4.106879e+01    9.705327e-05
4.142191e+01    9.543213e-05
4.177807e+01    9.380480e-05
4.213730e+01    9.226772e-05
4.249961e+01    9.068887e-05
4.286503e+01    8.920526e-05
4.323360e+01    8.770356e-05
4.360534e+01    8.619298e-05
4.398027e+01    8.473571e-05
4.435843e+01    8.330886e-05
4.473984e+01    8.185555e-05
4.512453e+01    8.048559e-05
4.551253e+01    7.911416e-05
