# W [GeV]    S_yy [GeV^-1]
1.000000e+01    3.499537e-04
1.011493e+01    3.453785e-04
1.023118e+01    3.417774e-04
1.034876e+01    3.371416e-04
1.046770e+01    3.336742e-04
1.070968e+01    3.256679e-04
1.083277e+01    3.205344e-04
1.095727e+01    3.174332e-04
1.121057e+01    3.100023e-04
1.160155e+01    2.983894e-04
1.173489e+01    2.948372e-04
1.214415e+01    2.841254e-04
1.228372e+01    2.809034e-04
1.242490e+01    2.775938e-04
1.256769e+01    2.730499e-04
1.271213e+01    2.707279e-04
1.285823e+01    2.672273e-04
1.330667e+01    2.575165e-04
1.345960e+01    2.541374e-04
1.392902e+01    2.445334e-04
1.441481e+01    2.366260e-04
1.491754e+01    2.271757e-04
1.508899e+01    2.245010e-04
1.526240e+01    2.219317e-04
1.543781e+01    2.195059e-04
1.561523e+01    2.162839e-04
1.579469e+01    2.140140e-04
1.615983e+01    2.089829e-04
1.634555e+01    2.062220e-04
1.653340e+01    2.036621e-04
1.672342e+01    2.008846e-04
1.691562e+01    1.986989e-04
1.711002e+01    1.960507e-04
1.730667e+01    1.937087e-04
1.791025e+01    1.865691e-04
1.832430e+01    1.820671e-04
1.853489e+01    1.796549e-04
1.874791e+01    1.776183e-04
1.896337e+01    1.750867e-04
1.918132e+01    1.731716e-04
1.940176e+01    1.711373e-04
1.962474e+01    1.689007e-04
1.985029e+01    1.668399e-04
2.007842e+01    1.639404e-04
2.030918e+01    1.626198e-04
2.054258e+01    1.605301e-04
2.077868e+01    1.586756e-04
2.150335e+01    1.526119e-04
2.175049e+01    1.508258e-04
2.200046e+01    1.489896e-04
2.225331e+01    1.470067e-04
2.250906e+01    1.450620e-04
2.276775e+01    1.434438e-04
2.302941e+01    1.417362e-04
2.329409e+01    1.398139e-04
2.356180e+01    1.379929e-04
2.410649e+01    1.347220e-04
2.438354e+01    1.329809e-04
2.494723e+01    1.296429e-04
2.523394e+01    1.280404e-04
2.611400e+01    1.232109e-04
2.702476e+01    1.185852e-04
2.764950e+01    1.156641e-04
2.828869e+01    1.125566e-04
2.861381e+01    1.111634e-04
2.927529e+01    1.082589e-04
2.961175e+01    1.069838e-04
2.995207e+01    1.056072e-04
3.029630e+01    1.043402e-04
3.099668e+01    1.015664e-04
3.135291e+01    1.001943e-04
3.171325e+01    9.910883e-05
3.207772e+01    9.770875e-05
3.244638e+01    9.650794e-05
3.281928e+01    9.523806e-05
3.357798e+01    9.265235e-05
3.396389e+01    9.154631e-05
3.474905e+01    8.911667e-05
3.514841e+01    8.808481e-05
3.555236e+01    8.683517e-05
3.596096e+01    8.568203e-05
3.679229e+01    8.338746e-05
3.764284e+01    8.118897e-05
3.807546e+01    8.016916e-05
3.851305e+01    7.918484e-05
3.895567e+01    7.805869e-05
3.940338e+01    7.706817e-05
4.077762e+01    7.393998e-05
4.124626e+01    7.300639e-05
4.172030e+01    7.204534e-05
4.268477e+01    7.006460e-05
4.317534e+01    6.919865e-05
4.367154e+01    6.822959e-05
4.417345e+01    6.730705e-05
4.468112e+01    6.634444e-05
4.519463e+01    6.543054e-05
4.571404e+01    6.453566e-05
4.623942e+01    6.368789e-05
4.677084e+01    6.283575e-05
4.730837e+01    6.191557e-05
4.785207e+01    6.109048e-05
4.840202e+01    6.021993e-05
4.895830e+01    5.939803e-05
5.009010e+01    5.773458e-05
5.066577e+01    5.693364e-05
5.124806e+01    5.608798e-05
5.183704e+01    5.535929e-05
5.243279e+01    5.453996e-05
5.303539e+01    5.374739e-05
5.364491e+01    5.297872e-05
5.426144e+01    5.229927e-05
5.488505e+01    5.148837e-05
5.615386e+01    5.006020e-05
5.679923e+01    4.933764e-05
5.745201e+01    4.858108e-05
5.811229e+01    4.790726e-05
5.878016e+01    4.716751e-05
5.945571e+01    4.644992e-05
6.013902e+01    4.578695e-05
6.152929e+01    4.449243e-05
6.223643e+01    4.381748e-05
6.295170e+01    4.315239e-05
6.367519e+01    4.250569e-05
6.440699e+01    4.189564e-05
6.514720e+01    4.121673e-05
6.589593e+01    4.062411e-05
6.665325e+01    3.998089e-05
6.741928e+01    3.941280e-05
6.819412e+01    3.879451e-05
6.897785e+01    3.820109e-05
6.977060e+01    3.759732e-05
7.057246e+01    3.700642e-05
7.138353e+01    3.642924e-05
7.220392e+01    3.584942e-05
7.303375e+01    3.528064e-05
7.387310e+01    3.474983e-05
7.472211e+01    3.415249e-05
7.558087e+01    3.361769e-05
7.644951e+01    3.310331e-05
7.732812e+01    3.257083e-05
7.821684e+01    3.204604e-05
8.002502e+01    3.100774e-05
8.094473e+01    3.048408e-05
8.187501e+01    3.000560e-05
8.281598e+01    2.949232e-05
8.376776e+01    2.900258e-05
8.473049e+01    2.851977e-05
8.570427e+01    2.803173e-05
8.668925e+01    2.756470e-05
8.869330e+01    2.665471e-05
8.971263e+01    2.618971e-05
9.074368e+01    2.573385e-05
9.178657e+01    2.528815e-05
9.284145e+01    2.485471e-05
9.390846e+01    2.442173e-05
9.498773e+01    2.399029e-05
9.607940e+01    2.357373e-05
9.718362e+01    2.313683e-05
9.830052e+01    2.274136e-05
9.943027e+01    2.233084e-05
1.017289e+02    2.154254e-05
1.028980e+02    2.114638e-05
1.040806e+02    2.076653e-05
1.052768e+02    2.037365e-05
1.064867e+02    2.000517e-05
1.077105e+02    1.963668e-05
1.102005e+02    1.891431e-05
1.114670e+02    1.854839e-05
1.127481e+02    1.820307e-05
1.140439e+02    1.785761e-05
1.153546e+02    1.751199e-05
1.166803e+02    1.716903e-05
1.193777e+02    1.638105e-05
1.207496e+02    1.593656e-05
1.221374e+02    1.549711e-05
1.235411e+02    1.508147e-05
1.249609e+02    1.466223e-05
1.263971e+02    1.426142e-05
1.278497e+02    1.386990e-05
1.293191e+02    1.348788e-05
1.308053e+02    1.311568e-05
1.323086e+02    1.274316e-05
1.338292e+02    1.238494e-05
1.353673e+02    1.203845e-05
1.369230e+02    1.170024e-05
1.400883e+02    1.103662e-05
1.416983e+02    1.072300e-05
1.433268e+02    1.041401e-05
1.449741e+02    1.011455e-05
1.466402e+02    9.815042e-06
1.483255e+02    9.531513e-06
1.500302e+02    9.249844e-06
1.517545e+02    8.975358e-06
1.534985e+02    8.707724e-06
1.552627e+02    8.451489e-06
1.570470e+02    8.194367e-06
1.625242e+02    7.470624e-06
1.643921e+02    7.241003e-06
1.662814e+02    7.020878e-06
1.681924e+02    6.800865e-06
1.701254e+02    6.591820e-06
1.720806e+02    6.382006e-06
1.760587e+02    5.986101e-06
1.780821e+02    5.798411e-06
1.801288e+02    5.610799e-06
1.821990e+02    5.427999e-06
1.842929e+02    5.255475e-06
1.864110e+02    5.081889e-06
1.907203e+02    4.753256e-06
1.929122e+02    4.596064e-06
1.951293e+02    4.442836e-06
1.973719e+02    4.290749e-06
1.996403e+02    4.145212e-06
2.019347e+02    4.006513e-06
2.042555e+02    3.867262e-06
2.066029e+02    3.734207e-06
2.089774e+02    3.602756e-06
2.113791e+02    3.477895e-06
2.138084e+02    3.356124e-06
2.187512e+02    3.119893e-06
2.212652e+02    3.007910e-06
2.238082e+02    2.900948e-06
2.263803e+02    2.793960e-06
2.289821e+02    2.689723e-06
2.342756e+02    2.492139e-06
2.396915e+02    2.308353e-06
2.424462e+02    2.219748e-06
2.452326e+02    2.134831e-06
2.509018e+02    1.970887e-06
2.537853e+02    1.892347e-06
2.567020e+02    1.817888e-06
2.596522e+02    1.743757e-06
2.656548e+02    1.605531e-06
2.687079e+02    1.538682e-06
2.717961e+02    1.475089e-06
2.749198e+02    1.412737e-06
2.780793e+02    1.352349e-06
2.812752e+02    1.294311e-06
2.910850e+02    1.131461e-06
2.944304e+02    1.080740e-06
3.012369e+02    9.847506e-07
3.046990e+02    9.395390e-07
3.082008e+02    8.949337e-07
3.117429e+02    8.529936e-07
3.153257e+02    8.114095e-07
