# W [GeV]    S_yy [GeV^-1]
1.000000e+01    3.997456e-04
1.028980e+01    3.827194e-04
1.043783e+01    3.833525e-04
1.058800e+01    3.767354e-04
1.089484e+01    3.651392e-04
1.105158e+01    3.597100e-04
1.137185e+01    3.489921e-04
1.153546e+01    3.446683e-04
1.170141e+01    3.389816e-04
1.204052e+01    3.286245e-04
1.221374e+01    3.196117e-04
1.238945e+01    3.204105e-04
1.256769e+01    3.143736e-04
1.274850e+01    3.095480e-04
1.293191e+01    3.046278e-04
1.311795e+01    3.001350e-04
1.408910e+01    2.782311e-04
1.449741e+01    2.699630e-04
1.470597e+01    2.663428e-04
1.513215e+01    2.577418e-04
1.534985e+01    2.543165e-04
1.557068e+01    2.500268e-04
1.579469e+01    2.465287e-04
1.602192e+01    2.431104e-04
1.625242e+01    2.391643e-04
1.672342e+01    2.321432e-04
1.696401e+01    2.284805e-04
1.720806e+01    2.249550e-04
1.745563e+01    2.213070e-04
1.770675e+01    2.185818e-04
1.821990e+01    2.120550e-04
1.848202e+01    2.085222e-04
1.874791e+01    2.055264e-04
1.901763e+01    2.021043e-04
1.929122e+01    1.993925e-04
1.956876e+01    1.963332e-04
1.985029e+01    1.932342e-04
2.013586e+01    1.904907e-04
2.042555e+01    1.876558e-04
2.071940e+01    1.850645e-04
2.101748e+01    1.819332e-04
2.162657e+01    1.767731e-04
2.193770e+01    1.739002e-04
2.225331e+01    1.711630e-04
2.257345e+01    1.687818e-04
2.289821e+01    1.660955e-04
2.322763e+01    1.639928e-04
2.356180e+01    1.612665e-04
2.390077e+01    1.588268e-04
2.459342e+01    1.539204e-04
2.494723e+01    1.516493e-04
2.530613e+01    1.493624e-04
2.603951e+01    1.449358e-04
2.641412e+01    1.426290e-04
2.679413e+01    1.405997e-04
2.717961e+01    1.355886e-04
2.757063e+01    1.364739e-04
2.796727e+01    1.343726e-04
2.836963e+01    1.321100e-04
2.961175e+01    1.263216e-04
3.003776e+01    1.242203e-04
3.046990e+01    1.224261e-04
3.090825e+01    1.201112e-04
3.135291e+01    1.189541e-04
3.180397e+01    1.172889e-04
3.226152e+01    1.152796e-04
3.272565e+01    1.136256e-04
3.319646e+01    1.115923e-04
3.367404e+01    1.099676e-04
3.415850e+01    1.083078e-04
3.464992e+01    1.068012e-04
3.514841e+01    1.050294e-04
3.616701e+01    1.019179e-04
3.668733e+01    1.004003e-04
3.721514e+01    9.814736e-05
3.775053e+01    9.747938e-05
3.829363e+01    9.576290e-05
3.940338e+01    9.296327e-05
3.997026e+01    9.158156e-05
4.054529e+01    9.033660e-05
4.112860e+01    8.888430e-05
4.232051e+01    8.617666e-05
4.292935e+01    8.485199e-05
4.354696e+01    8.349652e-05
4.480895e+01    8.105375e-05
4.545360e+01    7.979984e-05
4.610751e+01    7.857467e-05
4.744371e+01    7.614514e-05
4.812626e+01    7.497776e-05
4.952096e+01    7.270080e-05
5.095608e+01    7.024193e-05
5.243279e+01    6.836376e-05
5.318712e+01    6.729494e-05
5.551583e+01    6.418813e-05
5.794651e+01    6.128625e-05
5.878016e+01    6.042082e-05
6.048361e+01    5.840867e-05
6.135376e+01    5.751828e-05
6.313180e+01    5.580601e-05
6.684394e+01    5.242338e-05
6.780559e+01    5.157451e-05
6.977060e+01    4.999144e-05
7.077436e+01    4.916953e-05
7.179255e+01    4.740836e-05
7.387310e+01    4.694623e-05
7.601395e+01    4.543374e-05
7.710753e+01    4.475088e-05
8.048356e+01    4.272970e-05
8.164144e+01    4.197217e-05
8.281598e+01    4.132843e-05
8.400741e+01    4.067320e-05
8.521599e+01    4.002269e-05
8.644195e+01    3.934862e-05
8.768555e+01    3.872382e-05
8.894704e+01    3.811326e-05
9.022668e+01    3.748802e-05
9.152473e+01    3.696057e-05
