# W [GeV]    S_yy [GeV^-1]
1.000000e+01    3.270697e-04
1.008598e+01    3.243265e-04
1.017271e+01    3.215893e-04
1.034840e+01    3.153517e-04
1.043737e+01    3.130310e-04
1.052712e+01    3.095285e-04
1.061763e+01    3.068583e-04
1.070893e+01    3.041279e-04
1.080101e+01    3.004076e-04
1.089388e+01    2.982744e-04
1.098755e+01    2.956857e-04
1.108202e+01    2.928788e-04
1.117731e+01    2.900211e-04
1.127342e+01    2.872811e-04
1.137035e+01    2.841686e-04
1.156672e+01    2.794975e-04
1.166618e+01    2.767026e-04
1.176649e+01    2.741536e-04
1.186766e+01    2.718048e-04
1.196970e+01    2.688074e-04
1.207262e+01    2.669117e-04
1.217643e+01    2.639429e-04
1.228112e+01    2.615585e-04
1.238672e+01    2.595310e-04
1.249323e+01    2.569478e-04
1.270899e+01    2.521314e-04
1.281827e+01    2.496640e-04
1.292848e+01    2.474576e-04
1.303965e+01    2.449562e-04
1.315177e+01    2.425853e-04
1.349394e+01    2.358129e-04
1.360997e+01    2.338002e-04
1.372699e+01    2.316676e-04
1.384502e+01    2.294855e-04
1.408413e+01    2.249939e-04
1.420523e+01    2.228318e-04
1.432738e+01    2.207461e-04
1.457482e+01    2.167136e-04
1.495402e+01    2.106511e-04
1.508260e+01    2.087429e-04
1.521228e+01    2.067987e-04
1.534309e+01    2.048365e-04
1.574227e+01    1.988913e-04
1.601415e+01    1.952700e-04
1.615185e+01    1.932196e-04
1.629073e+01    1.917278e-04
1.643080e+01    1.897356e-04
1.657208e+01    1.879906e-04
1.671457e+01    1.861727e-04
1.685829e+01    1.840419e-04
1.700324e+01    1.826781e-04
1.714944e+01    1.808416e-04
1.729690e+01    1.790417e-04
1.774692e+01    1.741262e-04
1.789952e+01    1.723720e-04
1.805342e+01    1.705228e-04
1.852313e+01    1.659095e-04
1.868239e+01    1.642746e-04
1.884303e+01    1.625388e-04
1.900505e+01    1.612746e-04
1.916846e+01    1.595011e-04
1.933328e+01    1.579518e-04
1.949951e+01    1.564105e-04
1.966718e+01    1.550965e-04
1.983628e+01    1.533126e-04
2.000684e+01    1.518485e-04
2.017887e+01    1.501903e-04
2.052737e+01    1.476192e-04
2.070387e+01    1.459403e-04
2.124254e+01    1.418289e-04
2.142519e+01    1.404995e-04
2.160941e+01    1.390630e-04
2.179521e+01    1.375466e-04
2.198262e+01    1.363906e-04
2.236227e+01    1.337051e-04
2.255455e+01    1.324597e-04
2.274848e+01    1.309913e-04
2.294408e+01    1.297434e-04
2.314136e+01    1.284611e-04
2.334034e+01    1.272515e-04
2.354103e+01    1.259214e-04
2.374344e+01    1.247328e-04
2.415350e+01    1.222051e-04
2.478192e+01    1.186198e-04
2.499500e+01    1.173755e-04
2.520992e+01    1.161941e-04
2.542668e+01    1.150754e-04
2.564531e+01    1.138290e-04
2.586582e+01    1.127962e-04
2.608822e+01    1.116621e-04
2.631254e+01    1.104782e-04
2.653878e+01    1.094209e-04
2.676697e+01    1.081879e-04
2.699712e+01    1.071552e-04
2.722925e+01    1.060128e-04
2.793769e+01    1.028505e-04
2.817791e+01    1.017815e-04
2.842019e+01    1.007763e-04
2.866456e+01    9.973297e-05
2.891103e+01    9.864603e-05
2.915961e+01    9.761955e-05
2.941034e+01    9.661781e-05
2.966322e+01    9.572229e-05
2.991827e+01    9.473426e-05
3.043498e+01    9.270838e-05
3.069667e+01    9.179619e-05
3.096061e+01    9.071923e-05
3.122682e+01    8.982007e-05
3.149532e+01    8.895329e-05
3.176613e+01    8.788178e-05
3.203926e+01    8.704327e-05
3.231475e+01    8.605148e-05
3.259260e+01    8.517272e-05
3.287285e+01    8.428767e-05
3.315550e+01    8.331220e-05
3.431062e+01    7.993221e-05
3.460564e+01    7.900989e-05
3.490319e+01    7.814648e-05
3.520330e+01    7.728389e-05
3.550599e+01    7.644691e-05
3.581128e+01    7.564751e-05
3.611920e+01    7.484534e-05
3.642976e+01    7.402593e-05
3.769896e+01    7.074644e-05
3.802311e+01    6.996305e-05
3.835004e+01    6.922469e-05
3.867979e+01    6.844395e-05
3.901237e+01    6.774504e-05
3.934782e+01    6.696310e-05
3.968614e+01    6.615646e-05
4.037155e+01    6.473237e-05
4.071868e+01    6.399600e-05
4.106879e+01    6.327734e-05
4.142191e+01    6.248626e-05
4.213730e+01    6.107826e-05
4.249961e+01    6.038327e-05
4.286503e+01    5.968609e-05
4.323360e+01    5.898129e-05
4.360534e+01    5.833016e-05
4.398027e+01    5.770207e-05
4.435843e+01    5.698998e-05
4.473984e+01    5.630624e-05
4.512453e+01    5.561357e-05
4.629856e+01    5.368517e-05
4.669665e+01    5.303061e-05
4.709816e+01    5.242517e-05
4.750313e+01    5.177195e-05
4.791158e+01    5.117341e-05
4.832354e+01    5.056352e-05
4.873904e+01    4.994523e-05
4.915812e+01    4.935345e-05
4.958080e+01    4.874780e-05
5.000711e+01    4.816028e-05
5.043709e+01    4.757147e-05
5.087076e+01    4.697173e-05
5.130817e+01    4.636822e-05
5.174933e+01    4.579721e-05
