# W [GeV]    S_yy [GeV^-1]
1.000000e+01    1.112781e-03
1.014387e+01    1.091643e-03
1.028980e+01    1.072376e-03
1.043783e+01    1.055499e-03
1.058800e+01    1.033428e-03
1.074032e+01    1.020049e-03
1.089484e+01    9.985102e-04
1.105158e+01    9.800380e-04
1.153546e+01    9.309132e-04
1.170141e+01    9.135744e-04
1.186975e+01    8.970353e-04
1.204052e+01    8.814480e-04
1.221374e+01    8.681988e-04
1.238945e+01    8.472795e-04
1.256769e+01    8.364562e-04
1.293191e+01    8.037001e-04
1.311795e+01    7.903668e-04
1.330667e+01    7.782269e-04
1.349811e+01    7.622097e-04
1.369230e+01    7.504915e-04
1.388929e+01    7.353812e-04
1.408910e+01    7.218209e-04
1.429180e+01    7.092987e-04
1.449741e+01    6.957191e-04
1.470597e+01    6.832903e-04
1.491754e+01    6.709917e-04
1.534985e+01    6.465058e-04
1.557068e+01    6.353411e-04
1.579469e+01    6.232784e-04
1.602192e+01    6.122104e-04
1.625242e+01    6.001876e-04
1.648624e+01    5.903704e-04
1.672342e+01    5.795503e-04
1.696401e+01    5.673426e-04
1.720806e+01    5.569758e-04
1.745563e+01    5.457626e-04
1.770675e+01    5.360960e-04
1.796149e+01    5.268062e-04
1.821990e+01    5.177004e-04
1.848202e+01    5.077194e-04
1.874791e+01    4.986594e-04
1.901763e+01    4.888211e-04
1.929122e+01    4.800838e-04
1.956876e+01    4.715005e-04
1.985029e+01    4.618358e-04
2.013586e+01    4.534337e-04
2.042555e+01    4.451557e-04
2.071940e+01    4.358307e-04
2.101748e+01    4.278822e-04
2.131985e+01    4.198579e-04
2.162657e+01    4.119256e-04
2.193770e+01    4.040020e-04
2.225331e+01    3.975751e-04
2.257345e+01    3.898893e-04
2.289821e+01    3.829463e-04
2.322763e+01    3.751981e-04
2.356180e+01    3.676767e-04
2.390077e+01    3.605118e-04
2.424462e+01    3.528312e-04
2.494723e+01    3.405213e-04
2.530613e+01    3.342952e-04
2.567020e+01    3.275017e-04
2.641412e+01    3.151227e-04
2.679413e+01    3.096215e-04
2.717961e+01    3.028802e-04
2.757063e+01    2.974365e-04
2.796727e+01    2.914218e-04
2.836963e+01    2.849892e-04
2.877777e+01    2.801270e-04
2.919178e+01    2.752233e-04
2.961175e+01    2.700618e-04
3.090825e+01    2.543147e-04
3.135291e+01    2.492855e-04
3.180397e+01    2.442586e-04
3.226152e+01    2.395500e-04
3.272565e+01    2.345705e-04
3.319646e+01    2.293622e-04
3.367404e+01    2.256691e-04
3.464992e+01    2.171070e-04
3.514841e+01    2.128453e-04
3.565408e+01    2.084558e-04
3.616701e+01    2.041721e-04
3.721514e+01    1.959395e-04
3.775053e+01    1.922822e-04
3.997026e+01    1.775051e-04
4.054529e+01    1.740904e-04
4.172030e+01    1.669364e-04
4.232051e+01    1.634672e-04
4.292935e+01    1.604087e-04
4.354696e+01    1.569326e-04
4.417345e+01    1.539115e-04
4.480895e+01    1.505968e-04
4.545360e+01    1.475402e-04
4.610751e+01    1.446443e-04
4.677084e+01    1.417664e-04
4.744371e+01    1.391656e-04
4.812626e+01    1.358992e-04
5.095608e+01    1.251438e-04
5.168916e+01    1.225682e-04
5.243279e+01    1.200457e-04
5.318712e+01    1.174183e-04
5.395230e+01    1.149214e-04
5.472848e+01    1.127155e-04
5.551583e+01    1.102593e-04
5.631451e+01    1.080090e-04
5.712469e+01    1.056763e-04
5.794651e+01    1.036347e-04
5.878016e+01    1.014297e-04
5.962580e+01    9.927347e-05
6.048361e+01    9.717176e-05
6.135376e+01    9.510203e-05
6.223643e+01    9.310889e-05
6.313180e+01    9.101058e-05
6.404004e+01    8.926288e-05
6.496136e+01    8.708838e-05
6.589593e+01    8.547752e-05
6.684394e+01    8.352510e-05
6.780559e+01    8.178299e-05
6.878108e+01    7.997254e-05
6.977060e+01    7.832956e-05
7.077436e+01    7.658159e-05
7.179255e+01    7.486979e-05
7.282540e+01    7.334217e-05
7.387310e+01    7.161752e-05
7.493588e+01    7.010935e-05
7.601395e+01    6.868409e-05
7.710753e+01    6.719113e-05
7.821684e+01    6.564003e-05
7.934211e+01    6.417317e-05
8.048356e+01    6.286888e-05
8.164144e+01    6.135709e-05
8.281598e+01    6.006002e-05
8.400741e+01    5.871271e-05
8.521599e+01    5.737763e-05
8.644195e+01    5.611857e-05
8.768555e+01    5.496123e-05
8.894704e+01    5.362488e-05
9.022668e+01    5.245544e-05
9.417712e+01    4.899738e-05
9.553200e+01    4.789984e-05
9.690638e+01    4.681244e-05
9.830052e+01    4.568564e-05
9.971473e+01    4.465418e-05
1.011493e+02    4.364647e-05
1.026045e+02    4.262392e-05
1.040806e+02    4.166056e-05
1.055779e+02    4.071911e-05
1.070968e+02    3.977068e-05
1.086376e+02    3.884169e-05
1.117859e+02    3.714325e-05
1.133941e+02    3.619107e-05
1.150255e+02    3.534105e-05
1.166803e+02    3.457247e-05
1.183589e+02    3.366026e-05
1.200617e+02    3.290278e-05
1.217890e+02    3.209017e-05
1.235411e+02    3.140186e-05
1.253184e+02    3.061937e-05
1.271213e+02    2.989387e-05
1.289501e+02    2.919818e-05
1.308053e+02    2.850219e-05
1.326871e+02    2.778148e-05
1.345960e+02    2.711906e-05
1.365324e+02    2.648357e-05
1.384966e+02    2.575766e-05
1.404891e+02    2.517841e-05
1.425103e+02    2.453464e-05
1.445605e+02    2.397283e-05
1.466402e+02    2.338958e-05
1.487499e+02    2.278855e-05
1.508899e+02    2.223491e-05
1.530606e+02    2.169586e-05
1.552627e+02    2.115185e-05
1.574963e+02    2.061668e-05
1.597622e+02    2.011813e-05
1.620606e+02    1.955405e-05
1.643921e+02    1.912333e-05
1.691562e+02    1.814121e-05
1.715897e+02    1.768135e-05
1.740583e+02    1.722018e-05
1.765624e+02    1.678507e-05
1.791025e+02    1.634754e-05
1.816792e+02    1.590870e-05
1.842929e+02    1.549679e-05
1.869443e+02    1.510851e-05
1.896337e+02    1.471054e-05
1.923619e+02    1.431625e-05
1.951293e+02    1.394347e-05
1.979366e+02    1.358350e-05
2.007842e+02    1.321780e-05
2.066029e+02    1.252436e-05
2.095752e+02    1.218701e-05
2.125903e+02    1.185569e-05
2.156487e+02    1.153514e-05
2.187512e+02    1.120405e-05
2.218982e+02    1.092479e-05
2.250906e+02    1.062077e-05
2.283289e+02    1.030924e-05
2.316137e+02    1.003819e-05
2.349458e+02    9.750189e-06
2.383259e+02    9.486846e-06
2.452326e+02    8.958914e-06
2.487606e+02    8.707031e-06
2.523394e+02    8.452784e-06
2.559697e+02    8.215077e-06
2.596522e+02    7.981730e-06
2.671770e+02    7.524707e-06
2.710207e+02    7.316177e-06
2.749198e+02    7.115944e-06
2.788749e+02    6.895958e-06
2.828869e+02    6.688004e-06
2.910850e+02    6.310716e-06
2.952727e+02    6.113633e-06
2.995207e+02    5.929789e-06
3.038297e+02    5.756804e-06
3.082008e+02    5.575656e-06
3.126347e+02    5.406953e-06
3.171325e+02    5.250057e-06
3.216949e+02    5.077909e-06
3.263230e+02    4.926932e-06
3.310176e+02    4.778706e-06
3.357798e+02    4.631293e-06
3.455107e+02    4.337685e-06
3.504814e+02    4.208727e-06
3.555236e+02    4.076503e-06
3.606384e+02    3.940152e-06
3.658267e+02    3.812761e-06
3.710897e+02    3.695380e-06
3.764284e+02    3.566247e-06
3.818439e+02    3.454703e-06
3.929097e+02    3.231150e-06
3.985624e+02    3.124722e-06
4.042963e+02    3.020350e-06
4.101127e+02    2.920285e-06
4.160128e+02    2.822196e-06
4.219978e+02    2.725146e-06
4.280689e+02    2.631349e-06
4.342273e+02    2.543316e-06
4.404743e+02    2.459276e-06
4.468112e+02    2.369637e-06
4.532393e+02    2.284767e-06
4.597598e+02    2.204964e-06
4.663742e+02    2.127662e-06
4.798897e+02    1.979888e-06
4.867937e+02    1.909732e-06
5.009010e+02    1.776108e-06
5.081072e+02    1.709216e-06
5.154171e+02    1.643776e-06
5.379838e+02    1.467770e-06
5.457236e+02    1.409978e-06
5.535746e+02    1.356589e-06
5.615386e+02    1.304146e-06
5.696172e+02    1.254793e-06
5.778121e+02    1.204565e-06
5.861248e+02    1.157948e-06
5.945571e+02    1.111850e-06
6.031107e+02    1.068928e-06
6.117874e+02    1.024603e-06
6.295170e+02    9.435848e-07
6.385735e+02    9.044113e-07
6.477604e+02    8.671939e-07
6.570794e+02    8.314901e-07
6.665325e+02    7.966769e-07
6.761216e+02    7.626480e-07
6.858486e+02    7.319402e-07
7.057246e+02    6.675618e-07
7.158775e+02    6.393826e-07
7.261765e+02    6.112012e-07
7.366236e+02    5.833389e-07
7.579710e+02    5.323256e-07
7.688756e+02    5.075425e-07
7.799371e+02    4.846056e-07
7.911576e+02    4.620023e-07
8.025397e+02    4.409292e-07
8.140854e+02    4.202575e-07
8.257973e+02    3.993836e-07
8.376776e+02    3.805031e-07
8.497289e+02    3.615907e-07
8.619536e+02    3.441443e-07
8.743541e+02    3.264955e-07
8.869330e+02    3.105432e-07
8.996929e+02    2.950213e-07
9.126364e+02    2.798885e-07
9.390846e+02    2.518273e-07
9.525948e+02    2.383998e-07
9.662993e+02    2.252142e-07
9.802010e+02    2.135877e-07
9.943027e+02    2.018451e-07
1.008607e+03    1.908003e-07
1.023118e+03    1.798988e-07
1.037837e+03    1.699815e-07
1.052768e+03    1.603832e-07
1.067913e+03    1.511254e-07
1.098861e+03    1.340944e-07
1.114670e+03    1.259031e-07
1.146973e+03    1.110641e-07
1.163474e+03    1.042555e-07
1.180213e+03    9.759778e-08
1.197192e+03    9.139166e-08
1.214415e+03    8.555982e-08
1.231887e+03    8.002497e-08
1.249609e+03    7.469236e-08
1.267587e+03    6.968934e-08
1.285823e+03    6.488520e-08
1.304321e+03    6.049146e-08
1.323086e+03    5.628240e-08
1.342121e+03    5.226953e-08
1.361429e+03    4.848910e-08
1.381015e+03    4.494702e-08
1.400883e+03    4.155994e-08
1.441481e+03    3.546196e-08
1.483255e+03    3.006238e-08
1.504594e+03    2.765488e-08
1.548197e+03    2.320843e-08
1.570470e+03    2.124889e-08
1.593064e+03    1.937123e-08
1.615983e+03    1.766993e-08
1.662814e+03    1.457290e-08
1.686736e+03    1.318586e-08
1.711002e+03    1.191780e-08
1.735618e+03    1.073852e-08
1.785916e+03    8.669305e-09
1.811609e+03    7.756848e-09
1.864110e+03    6.151376e-09
1.890928e+03    5.456859e-09
1.918132e+03    4.818531e-09
1.945727e+03    4.240914e-09
1.973719e+03    3.725027e-09
2.060135e+03    2.455248e-09
2.089774e+03    2.118700e-09
2.119838e+03    1.822024e-09
2.181271e+03    1.319549e-09
2.212652e+03    1.114357e-09
2.244485e+03    9.365745e-10
2.276775e+03    7.791585e-10
2.309530e+03    6.443364e-10
2.410649e+03    3.462495e-10
2.480510e+03    2.182301e-10
2.516196e+03    1.696372e-10
2.552395e+03    1.305132e-10
2.589115e+03    9.856608e-11
2.626364e+03    7.344447e-11
2.664148e+03    5.359223e-11
2.702476e+03    3.820239e-11
2.741355e+03    2.661832e-11
2.780793e+03    1.799153e-11
2.820799e+03    1.178854e-11
2.902546e+03    4.428724e-12
2.944304e+03    2.502236e-12
3.029630e+03    6.285738e-13
3.073216e+03    2.657461e-13
3.117429e+03    9.330519e-14
