# W [GeV]    S_yy [GeV^-1]
1.000000e+01    6.650180e-04
1.015366e+01    6.503902e-04
1.030968e+01    6.359087e-04
1.046809e+01    6.224629e-04
1.062894e+01    6.108370e-04
1.079226e+01    5.971594e-04
1.095810e+01    5.837752e-04
1.112648e+01    5.715604e-04
1.129744e+01    5.589834e-04
1.147104e+01    5.465710e-04
1.182627e+01    5.231589e-04
1.200799e+01    5.112083e-04
1.219250e+01    5.003768e-04
1.237985e+01    4.898406e-04
1.257007e+01    4.791480e-04
1.276322e+01    4.688611e-04
1.295934e+01    4.576864e-04
1.315847e+01    4.474650e-04
1.336066e+01    4.371128e-04
1.356595e+01    4.281737e-04
1.377440e+01    4.188113e-04
1.398606e+01    4.096547e-04
1.420097e+01    4.000280e-04
1.441917e+01    3.910645e-04
1.464074e+01    3.825757e-04
1.486570e+01    3.738296e-04
1.509413e+01    3.650451e-04
1.580067e+01    3.414928e-04
1.628998e+01    3.263731e-04
1.654029e+01    3.184657e-04
1.679444e+01    3.105078e-04
1.705250e+01    3.036511e-04
1.731453e+01    2.969823e-04
1.758058e+01    2.903130e-04
1.785072e+01    2.832044e-04
1.812501e+01    2.769101e-04
1.840351e+01    2.706126e-04
1.897342e+01    2.578793e-04
1.926496e+01    2.515290e-04
1.956099e+01    2.458352e-04
2.016674e+01    2.346681e-04
2.047662e+01    2.290086e-04
2.079126e+01    2.237326e-04
2.111073e+01    2.184040e-04
2.143512e+01    2.131499e-04
2.176448e+01    2.079428e-04
2.209891e+01    2.033152e-04
2.243848e+01    1.984939e-04
2.278326e+01    1.937458e-04
2.313334e+01    1.890007e-04
2.348881e+01    1.846811e-04
2.384973e+01    1.799695e-04
2.421620e+01    1.752010e-04
2.458830e+01    1.712451e-04
2.496612e+01    1.674720e-04
2.534974e+01    1.633268e-04
2.573926e+01    1.592266e-04
2.613476e+01    1.552660e-04
2.653634e+01    1.515320e-04
2.694409e+01    1.479007e-04
2.735811e+01    1.437482e-04
2.777849e+01    1.403984e-04
2.820533e+01    1.369560e-04
2.863872e+01    1.338321e-04
2.907878e+01    1.304376e-04
2.952560e+01    1.270941e-04
2.997928e+01    1.241098e-04
3.043993e+01    1.207845e-04
3.090767e+01    1.176594e-04
3.138259e+01    1.147387e-04
3.186480e+01    1.117834e-04
3.235443e+01    1.091676e-04
3.335637e+01    1.037220e-04
3.491776e+01    9.599876e-05
3.545430e+01    9.332398e-05
3.599908e+01    9.101555e-05
