# W [GeV]    S_yy [GeV^-1]
1.000000e+01    1.294264e-03
1.008598e+01    1.277614e-03
1.017271e+01    1.265552e-03
1.026017e+01    1.251185e-03
1.034840e+01    1.238319e-03
1.043737e+01    1.223026e-03
1.052712e+01    1.210187e-03
1.061763e+01    1.197406e-03
1.070893e+01    1.186928e-03
1.080101e+01    1.173908e-03
1.089388e+01    1.158646e-03
1.098755e+01    1.146208e-03
1.108202e+01    1.135632e-03
1.117731e+01    1.120603e-03
1.127342e+01    1.107197e-03
1.137035e+01    1.097094e-03
1.166618e+01    1.055081e-03
1.176649e+01    1.048020e-03
1.186766e+01    1.033251e-03
1.196970e+01    1.021875e-03
1.207262e+01    1.012654e-03
1.217643e+01    9.990231e-04
1.228112e+01    9.904871e-04
1.238672e+01    9.793792e-04
1.249323e+01    9.662038e-04
1.260065e+01    9.569470e-04
1.270899e+01    9.436785e-04
1.281827e+01    9.320065e-04
1.292848e+01    9.232918e-04
1.303965e+01    9.105159e-04
1.315177e+01    9.011136e-04
1.337891e+01    8.815686e-04
1.349394e+01    8.686119e-04
1.360997e+01    8.619538e-04
1.372699e+01    8.509880e-04
1.384502e+01    8.408114e-04
1.396407e+01    8.294718e-04
1.408413e+01    8.205242e-04
1.420523e+01    8.088379e-04
1.432738e+01    7.997532e-04
1.457482e+01    7.798464e-04
1.470014e+01    7.713396e-04
1.495402e+01    7.538726e-04
1.508260e+01    7.463354e-04
1.521228e+01    7.343861e-04
1.534309e+01    7.269752e-04
1.547501e+01    7.190363e-04
1.560807e+01    7.084218e-04
1.574227e+01    7.007554e-04
1.587763e+01    6.907014e-04
1.601415e+01    6.822456e-04
1.615185e+01    6.745881e-04
1.629073e+01    6.652061e-04
1.643080e+01    6.570755e-04
1.657208e+01    6.509138e-04
1.671457e+01    6.420921e-04
1.700324e+01    6.256643e-04
1.729690e+01    6.111739e-04
1.759563e+01    5.958495e-04
1.774692e+01    5.871945e-04
1.789952e+01    5.809667e-04
1.805342e+01    5.734655e-04
1.820865e+01    5.660317e-04
1.836522e+01    5.579863e-04
1.852313e+01    5.509195e-04
1.868239e+01    5.447900e-04
1.884303e+01    5.371572e-04
1.900505e+01    5.305875e-04
1.916846e+01    5.231743e-04
1.933328e+01    5.165216e-04
1.966718e+01    5.038609e-04
1.983628e+01    4.969893e-04
2.000684e+01    4.911037e-04
2.017887e+01    4.838697e-04
2.035237e+01    4.776262e-04
2.052737e+01    4.712594e-04
2.070387e+01    4.651838e-04
2.088189e+01    4.596624e-04
2.106144e+01    4.531504e-04
2.124254e+01    4.473639e-04
2.142519e+01    4.410514e-04
2.160941e+01    4.355242e-04
2.198262e+01    4.239629e-04
2.217163e+01    4.178113e-04
2.236227e+01    4.118004e-04
2.274848e+01    4.009347e-04
2.294408e+01    3.951870e-04
2.314136e+01    3.902476e-04
2.334034e+01    3.857096e-04
2.354103e+01    3.810532e-04
2.374344e+01    3.744751e-04
2.394759e+01    3.703889e-04
2.415350e+01    3.649702e-04
2.436119e+01    3.597490e-04
2.457065e+01    3.543462e-04
2.478192e+01    3.494767e-04
2.499500e+01    3.446440e-04
2.520992e+01    3.406217e-04
2.542668e+01    3.349865e-04
2.564531e+01    3.314733e-04
2.586582e+01    3.266595e-04
2.608822e+01    3.220236e-04
2.631254e+01    3.170650e-04
2.653878e+01    3.129757e-04
2.699712e+01    3.038932e-04
2.746338e+01    2.958828e-04
2.769952e+01    2.915777e-04
2.793769e+01    2.869919e-04
2.817791e+01    2.836413e-04
2.842019e+01    2.793074e-04
2.866456e+01    2.750331e-04
2.891103e+01    2.709400e-04
2.915961e+01    2.671166e-04
2.941034e+01    2.635808e-04
2.966322e+01    2.588890e-04
2.991827e+01    2.557363e-04
3.017552e+01    2.520109e-04
3.043498e+01    2.485613e-04
3.069667e+01    2.445486e-04
3.122682e+01    2.376447e-04
3.149532e+01    2.344150e-04
3.203926e+01    2.273427e-04
3.231475e+01    2.237535e-04
3.259260e+01    2.206536e-04
3.287285e+01    2.174247e-04
3.315550e+01    2.149209e-04
3.344058e+01    2.109135e-04
3.372811e+01    2.078624e-04
3.401812e+01    2.044543e-04
3.431062e+01    2.014897e-04
3.460564e+01    1.986673e-04
3.490319e+01    1.959604e-04
3.520330e+01    1.924774e-04
3.550599e+01    1.895304e-04
3.581128e+01    1.864945e-04
3.611920e+01    1.839914e-04
3.642976e+01    1.811188e-04
3.674300e+01    1.781717e-04
3.705893e+01    1.753450e-04
3.737757e+01    1.731048e-04
3.802311e+01    1.675872e-04
3.835004e+01    1.648981e-04
3.867979e+01    1.623839e-04
3.934782e+01    1.573465e-04
3.968614e+01    1.553219e-04
4.002738e+01    1.523114e-04
4.037155e+01    1.499650e-04
4.071868e+01    1.471707e-04
4.106879e+01    1.454234e-04
4.142191e+01    1.430472e-04
4.177807e+01    1.407794e-04
4.249961e+01    1.363307e-04
4.323360e+01    1.320975e-04
4.398027e+01    1.277694e-04
4.435843e+01    1.256036e-04
4.512453e+01    1.218511e-04
4.551253e+01    1.196174e-04
4.590386e+01    1.179784e-04
4.629856e+01    1.158976e-04
4.669665e+01    1.135792e-04
4.709816e+01    1.117466e-04
4.750313e+01    1.101341e-04
4.791158e+01    1.082685e-04
4.832354e+01    1.064519e-04
4.873904e+01    1.046812e-04
4.958080e+01    1.012660e-04
5.000711e+01    9.957823e-05
5.043709e+01    9.787150e-05
5.087076e+01    9.605392e-05
5.130817e+01    9.466400e-05
5.174933e+01    9.285461e-05
5.219429e+01    9.140766e-05
5.264308e+01    8.975837e-05
5.309572e+01    8.825589e-05
5.355226e+01    8.668652e-05
5.401272e+01    8.544219e-05
5.589450e+01    7.975032e-05
5.637510e+01    7.821893e-05
5.685983e+01    7.676308e-05
5.734873e+01    7.559971e-05
5.784184e+01    7.417741e-05
5.833918e+01    7.278645e-05
5.985702e+01    6.916012e-05
6.037169e+01    6.787662e-05
6.089079e+01    6.663253e-05
6.141435e+01    6.533078e-05
6.194241e+01    6.422043e-05
6.247501e+01    6.305059e-05
6.301219e+01    6.191998e-05
6.355400e+01    6.080220e-05
6.410045e+01    5.957107e-05
6.465161e+01    5.860411e-05
6.576819e+01    5.651876e-05
6.633369e+01    5.544858e-05
6.690405e+01    5.441029e-05
6.747931e+01    5.349431e-05
6.805952e+01    5.242489e-05
6.864472e+01    5.139479e-05
6.923495e+01    5.050925e-05
6.983026e+01    4.950429e-05
7.043068e+01    4.863885e-05
7.103627e+01    4.755973e-05
7.164707e+01    4.689261e-05
7.226311e+01    4.596123e-05
7.288446e+01    4.502262e-05
7.414322e+01    4.331551e-05
7.478073e+01    4.251445e-05
7.542372e+01    4.178545e-05
7.607224e+01    4.086267e-05
7.672633e+01    4.016329e-05
7.805145e+01    3.856920e-05
7.872256e+01    3.784468e-05
8.008215e+01    3.643231e-05
8.077072e+01    3.568053e-05
8.146522e+01    3.490449e-05
8.216568e+01    3.422161e-05
8.287217e+01    3.350441e-05
8.358474e+01    3.289733e-05
8.430343e+01    3.225285e-05
8.502830e+01    3.155337e-05
8.575940e+01    3.094787e-05
8.649679e+01    3.033971e-05
8.724052e+01    2.972494e-05
8.799065e+01    2.908707e-05
8.874722e+01    2.844128e-05
9.027994e+01    2.739032e-05
9.105620e+01    2.676447e-05
9.183913e+01    2.619037e-05
9.262880e+01    2.568138e-05
9.342525e+01    2.514200e-05
9.422856e+01    2.459133e-05
9.585594e+01    2.359162e-05
9.668015e+01    2.310276e-05
9.751144e+01    2.264750e-05
9.834987e+01    2.212450e-05
9.919552e+01    2.165772e-05
1.000484e+02    2.115297e-05
1.009087e+02    2.074342e-05
1.017763e+02    2.027175e-05
1.026514e+02    1.986147e-05
1.035341e+02    1.940724e-05
1.044243e+02    1.901685e-05
1.053222e+02    1.860321e-05
1.062278e+02    1.818369e-05
1.071412e+02    1.781375e-05
1.080624e+02    1.739584e-05
1.089916e+02    1.702914e-05
1.099287e+02    1.661376e-05
1.108739e+02    1.621939e-05
1.118272e+02    1.587858e-05
1.127888e+02    1.553215e-05
1.137586e+02    1.516520e-05
1.147367e+02    1.483529e-05
1.157233e+02    1.450916e-05
1.177219e+02    1.384683e-05
1.187341e+02    1.351800e-05
1.197550e+02    1.319989e-05
1.207847e+02    1.291027e-05
1.228707e+02    1.228114e-05
1.239272e+02    1.201760e-05
1.249928e+02    1.172437e-05
1.260675e+02    1.144880e-05
1.271515e+02    1.115779e-05
1.282448e+02    1.090396e-05
1.293475e+02    1.066395e-05
1.315814e+02    1.012907e-05
1.327128e+02    9.905036e-06
1.350048e+02    9.425288e-06
1.361656e+02    9.194943e-06
1.373364e+02    8.945107e-06
1.385173e+02    8.744291e-06
1.397083e+02    8.503816e-06
1.409096e+02    8.300977e-06
1.421212e+02    8.081875e-06
1.433432e+02    7.902435e-06
1.445757e+02    7.678573e-06
1.458188e+02    7.487475e-06
1.470726e+02    7.322236e-06
1.483372e+02    7.102427e-06
1.496126e+02    6.945650e-06
1.508991e+02    6.767675e-06
1.521965e+02    6.583168e-06
1.535052e+02    6.410521e-06
1.548251e+02    6.234017e-06
1.561563e+02    6.073729e-06
1.574990e+02    5.908624e-06
1.588532e+02    5.748040e-06
1.602191e+02    5.592580e-06
1.615967e+02    5.443752e-06
1.629862e+02    5.289413e-06
1.643876e+02    5.156862e-06
1.658011e+02    5.015115e-06
1.672267e+02    4.880976e-06
