# W [GeV]    S_yy [GeV^-1]
1.000000e+01    3.203906e-04
1.015366e+01    3.135184e-04
1.030968e+01    3.071090e-04
1.046809e+01    3.012989e-04
1.112648e+01    2.763520e-04
1.129744e+01    2.700524e-04
1.147104e+01    2.646550e-04
1.164730e+01    2.589467e-04
1.182627e+01    2.531076e-04
1.200799e+01    2.476335e-04
1.219250e+01    2.424379e-04
1.237985e+01    2.375354e-04
1.257007e+01    2.322654e-04
1.276322e+01    2.268948e-04
1.295934e+01    2.218457e-04
1.315847e+01    2.173711e-04
1.336066e+01    2.123582e-04
1.356595e+01    2.078640e-04
1.377440e+01    2.034865e-04
1.398606e+01    1.995768e-04
1.420097e+01    1.946022e-04
1.441917e+01    1.902849e-04
1.464074e+01    1.861081e-04
1.486570e+01    1.818777e-04
1.509413e+01    1.781461e-04
1.532606e+01    1.738303e-04
1.556155e+01    1.703276e-04
1.580067e+01    1.665810e-04
1.604346e+01    1.625390e-04
1.628998e+01    1.588802e-04
1.654029e+01    1.555566e-04
1.705250e+01    1.488655e-04
1.731453e+01    1.453786e-04
1.758058e+01    1.421868e-04
1.785072e+01    1.390899e-04
1.812501e+01    1.357710e-04
1.840351e+01    1.325838e-04
1.868629e+01    1.297516e-04
1.897342e+01    1.265163e-04
1.926496e+01    1.240229e-04
1.956099e+01    1.210177e-04
2.047662e+01    1.129662e-04
2.079126e+01    1.103325e-04
2.111073e+01    1.077902e-04
2.143512e+01    1.052233e-04
2.176448e+01    1.028692e-04
2.209891e+01    1.005002e-04
2.243848e+01    9.817169e-05
2.278326e+01    9.591208e-05
2.313334e+01    9.369087e-05
2.348881e+01    9.156330e-05
2.384973e+01    8.940803e-05
2.458830e+01    8.534761e-05
2.496612e+01    8.320283e-05
2.534974e+01    8.132128e-05
2.573926e+01    7.952200e-05
2.613476e+01    7.749460e-05
2.653634e+01    7.561090e-05
2.694409e+01    7.389440e-05
2.735811e+01    7.205056e-05
2.777849e+01    7.031919e-05
2.820533e+01    6.866537e-05
2.863872e+01    6.704261e-05
2.907878e+01    6.551246e-05
2.952560e+01    6.393264e-05
2.997928e+01    6.224358e-05
3.043993e+01    6.085071e-05
3.090767e+01    5.933531e-05
3.138259e+01    5.791078e-05
3.186480e+01    5.643253e-05
3.235443e+01    5.520135e-05
3.285158e+01    5.383565e-05
3.335637e+01    5.245190e-05
3.386892e+01    5.116066e-05
3.491776e+01    4.868108e-05
3.545430e+01    4.745732e-05
3.599908e+01    4.629156e-05
3.655223e+01    4.509869e-05
3.711389e+01    4.406480e-05
3.768417e+01    4.293584e-05
3.826321e+01    4.185886e-05
3.885116e+01    4.081744e-05
3.944814e+01    3.972989e-05
4.005429e+01    3.870878e-05
4.066975e+01    3.781144e-05
4.129467e+01    3.681082e-05
4.257347e+01    3.499647e-05
4.322765e+01    3.407329e-05
4.389187e+01    3.317882e-05
4.525110e+01    3.147359e-05
4.594642e+01    3.069835e-05
4.665242e+01    2.987346e-05
4.736927e+01    2.911792e-05
4.809713e+01    2.840241e-05
4.883618e+01    2.764513e-05
4.958659e+01    2.690768e-05
5.034853e+01    2.622402e-05
5.112217e+01    2.549922e-05
5.190770e+01    2.482807e-05
5.351516e+01    2.350195e-05
5.433746e+01    2.289029e-05
5.517240e+01    2.226530e-05
5.602016e+01    2.170955e-05
5.688096e+01    2.110068e-05
5.775498e+01    2.050704e-05
5.864242e+01    1.998716e-05
5.954351e+01    1.940899e-05
6.045844e+01    1.888804e-05
6.138743e+01    1.840188e-05
6.233070e+01    1.786997e-05
6.426093e+01    1.691060e-05
6.524835e+01    1.640200e-05
6.625094e+01    1.597161e-05
6.726894e+01    1.552078e-05
6.830258e+01    1.506087e-05
6.935210e+01    1.466745e-05
7.041775e+01    1.425119e-05
7.259842e+01    1.343403e-05
7.371395e+01    1.305326e-05
7.484662e+01    1.268034e-05
7.599669e+01    1.231796e-05
7.716444e+01    1.194532e-05
7.835013e+01    1.163280e-05
7.955404e+01    1.127684e-05
8.077645e+01    1.095582e-05
8.201764e+01    1.062982e-05
8.327791e+01    1.030480e-05
8.455754e+01    1.000154e-05
8.585683e+01    9.699867e-06
8.717608e+01    9.404690e-06
8.851561e+01    9.128872e-06
8.987572e+01    8.856456e-06
9.125673e+01    8.593587e-06
9.265896e+01    8.339285e-06
9.408273e+01    8.063454e-06
9.552839e+01    7.829938e-06
9.699626e+01    7.577479e-06
9.848668e+01    7.339626e-06
1.000000e+02    7.127100e-06
1.015366e+02    6.906132e-06
1.030968e+02    6.688507e-06
1.046809e+02    6.478276e-06
1.062894e+02    6.262732e-06
1.079226e+02    6.070775e-06
1.095810e+02    5.872107e-06
1.112648e+02    5.679508e-06
1.129744e+02    5.509791e-06
1.147104e+02    5.323417e-06
1.164730e+02    5.146961e-06
1.182627e+02    4.985189e-06
1.200799e+02    4.815091e-06
1.219250e+02    4.652910e-06
1.237985e+02    4.502468e-06
1.276322e+02    4.205514e-06
1.295934e+02    4.062039e-06
1.315847e+02    3.926720e-06
1.356595e+02    3.660215e-06
1.377440e+02    3.532660e-06
1.398606e+02    3.411192e-06
1.420097e+02    3.292884e-06
1.441917e+02    3.178003e-06
1.464074e+02    3.063671e-06
1.486570e+02    2.953727e-06
1.509413e+02    2.850774e-06
1.532606e+02    2.747641e-06
1.556155e+02    2.650033e-06
1.580067e+02    2.551273e-06
1.604346e+02    2.459888e-06
1.628998e+02    2.369295e-06
1.654029e+02    2.279855e-06
1.679444e+02    2.194169e-06
1.705250e+02    2.115421e-06
1.731453e+02    2.033471e-06
1.758058e+02    1.956351e-06
1.785072e+02    1.879829e-06
1.812501e+02    1.807387e-06
1.840351e+02    1.736714e-06
1.868629e+02    1.668214e-06
1.897342e+02    1.604280e-06
1.926496e+02    1.539929e-06
1.956099e+02    1.477370e-06
2.016674e+02    1.361351e-06
2.047662e+02    1.305924e-06
2.079126e+02    1.252809e-06
2.111073e+02    1.200154e-06
2.143512e+02    1.150123e-06
2.176448e+02    1.102395e-06
2.209891e+02    1.055627e-06
2.278326e+02    9.652138e-07
2.313334e+02    9.245272e-07
2.348881e+02    8.844508e-07
2.384973e+02    8.449174e-07
2.421620e+02    8.070414e-07
2.496612e+02    7.353664e-07
2.573926e+02    6.695518e-07
2.613476e+02    6.387623e-07
2.653634e+02    6.088654e-07
2.694409e+02    5.795215e-07
2.735811e+02    5.522249e-07
2.777849e+02    5.251262e-07
2.820533e+02    4.995886e-07
2.863872e+02    4.750999e-07
2.907878e+02    4.513586e-07
2.952560e+02    4.285178e-07
2.997928e+02    4.069892e-07
3.043993e+02    3.858182e-07
3.090767e+02    3.660341e-07
3.138259e+02    3.467810e-07
3.186480e+02    3.283353e-07
3.235443e+02    3.110197e-07
3.285158e+02    2.940277e-07
3.335637e+02    2.778374e-07
3.386892e+02    2.625153e-07
3.438934e+02    2.475059e-07
3.491776e+02    2.335781e-07
3.545430e+02    2.203347e-07
3.599908e+02    2.073751e-07
3.655223e+02    1.953136e-07
3.711389e+02    1.835771e-07
3.768417e+02    1.726368e-07
3.826321e+02    1.619896e-07
3.885116e+02    1.520035e-07
3.944814e+02    1.423326e-07
4.005429e+02    1.332377e-07
