# W [GeV]    S_yy [GeV^-1]
1.000000e+01    1.197721e-03
1.008598e+01    1.185377e-03
1.017271e+01    1.171237e-03
1.026017e+01    1.158441e-03
1.034840e+01    1.147881e-03
1.043737e+01    1.135277e-03
1.052712e+01    1.121119e-03
1.061763e+01    1.111593e-03
1.070893e+01    1.098555e-03
1.080101e+01    1.087200e-03
1.089388e+01    1.073363e-03
1.098755e+01    1.062345e-03
1.117731e+01    1.035781e-03
1.127342e+01    1.024700e-03
1.137035e+01    1.014218e-03
1.146812e+01    1.003583e-03
1.156672e+01    9.934293e-04
1.166618e+01    9.794132e-04
1.176649e+01    9.694034e-04
1.186766e+01    9.566568e-04
1.196970e+01    9.473922e-04
1.207262e+01    9.355614e-04
1.217643e+01    9.283224e-04
1.228112e+01    9.149656e-04
1.238672e+01    9.063533e-04
1.260065e+01    8.824590e-04
1.270899e+01    8.722432e-04
1.281827e+01    8.617504e-04
1.303965e+01    8.426210e-04
1.315177e+01    8.327625e-04
1.326485e+01    8.224431e-04
1.337891e+01    8.143516e-04
1.360997e+01    7.963144e-04
1.372699e+01    7.873090e-04
1.396407e+01    7.666132e-04
1.408413e+01    7.578075e-04
1.420523e+01    7.497196e-04
1.432738e+01    7.382955e-04
1.445057e+01    7.323256e-04
1.457482e+01    7.219054e-04
1.470014e+01    7.121414e-04
1.482654e+01    7.053647e-04
1.495402e+01    6.963001e-04
1.508260e+01    6.880413e-04
1.521228e+01    6.785274e-04
1.534309e+01    6.712097e-04
1.547501e+01    6.624423e-04
1.560807e+01    6.535596e-04
1.574227e+01    6.477124e-04
1.587763e+01    6.395863e-04
1.601415e+01    6.297202e-04
1.615185e+01    6.234841e-04
1.629073e+01    6.158637e-04
1.643080e+01    6.078337e-04
1.671457e+01    5.924022e-04
1.685829e+01    5.854931e-04
1.700324e+01    5.778423e-04
1.714944e+01    5.709844e-04
1.729690e+01    5.639985e-04
1.744562e+01    5.555708e-04
1.759563e+01    5.502943e-04
1.774692e+01    5.426325e-04
1.805342e+01    5.289557e-04
1.820865e+01    5.222801e-04
1.836522e+01    5.147007e-04
1.852313e+01    5.091114e-04
1.868239e+01    5.029213e-04
1.884303e+01    4.958462e-04
1.916846e+01    4.829473e-04
1.933328e+01    4.771344e-04
1.949951e+01    4.703430e-04
1.966718e+01    4.657900e-04
2.000684e+01    4.525563e-04
2.017887e+01    4.473004e-04
2.035237e+01    4.398317e-04
2.052737e+01    4.347579e-04
2.070387e+01    4.302920e-04
2.088189e+01    4.238899e-04
2.106144e+01    4.180380e-04
2.124254e+01    4.124651e-04
2.142519e+01    4.069329e-04
2.160941e+01    4.020539e-04
2.179521e+01    3.953145e-04
2.198262e+01    3.910198e-04
2.217163e+01    3.856303e-04
2.236227e+01    3.801060e-04
2.255455e+01    3.751453e-04
2.274848e+01    3.702783e-04
2.294408e+01    3.659990e-04
2.334034e+01    3.560863e-04
2.354103e+01    3.509364e-04
2.374344e+01    3.458509e-04
2.394759e+01    3.415549e-04
2.415350e+01    3.367015e-04
2.436119e+01    3.313345e-04
2.457065e+01    3.270171e-04
2.478192e+01    3.230985e-04
2.542668e+01    3.091600e-04
2.564531e+01    3.051695e-04
2.586582e+01    3.012851e-04
2.608822e+01    2.968532e-04
2.631254e+01    2.928190e-04
2.653878e+01    2.883834e-04
2.676697e+01    2.848967e-04
2.699712e+01    2.808063e-04
2.722925e+01    2.757860e-04
2.746338e+01    2.721582e-04
2.817791e+01    2.613173e-04
2.842019e+01    2.571771e-04
2.866456e+01    2.534548e-04
2.891103e+01    2.504792e-04
2.915961e+01    2.465453e-04
2.941034e+01    2.430529e-04
