# W [GeV]    S_yy [GeV^-1]
1.000000e+01    1.110321e-03
1.019244e+01    1.085782e-03
1.038858e+01    1.061131e-03
1.058850e+01    1.035752e-03
1.079226e+01    1.010172e-03
1.099995e+01    9.854585e-04
1.121163e+01    9.631007e-04
1.142739e+01    9.399296e-04
1.164730e+01    9.173234e-04
1.187144e+01    8.963114e-04
1.209989e+01    8.778370e-04
1.233274e+01    8.544848e-04
1.257007e+01    8.332823e-04
1.281197e+01    8.139587e-04
1.305852e+01    7.954141e-04
1.330982e+01    7.767032e-04
1.356595e+01    7.572683e-04
1.382702e+01    7.375690e-04
1.409310e+01    7.212999e-04
1.492248e+01    6.697566e-04
1.520965e+01    6.553440e-04
1.550234e+01    6.378298e-04
1.580067e+01    6.234511e-04
1.610474e+01    6.063398e-04
1.641466e+01    5.935444e-04
1.673054e+01    5.780778e-04
1.705250e+01    5.639564e-04
1.738066e+01    5.494889e-04
1.771513e+01    5.365698e-04
1.805604e+01    5.229562e-04
1.840351e+01    5.100032e-04
1.875767e+01    4.982632e-04
1.911864e+01    4.850490e-04
1.948656e+01    4.721748e-04
1.986155e+01    4.611732e-04
2.024377e+01    4.499506e-04
2.103041e+01    4.275935e-04
2.143512e+01    4.169065e-04
2.226805e+01    3.969061e-04
2.269657e+01    3.865103e-04
2.313334e+01    3.771760e-04
2.403226e+01    3.587435e-04
2.449474e+01    3.480778e-04
2.496612e+01    3.393981e-04
2.544656e+01    3.321176e-04
2.643537e+01    3.148448e-04
2.694409e+01    3.063923e-04
2.746260e+01    2.992087e-04
2.799109e+01    2.913909e-04
2.852975e+01    2.838992e-04
2.907878e+01    2.759816e-04
2.963837e+01    2.692549e-04
3.020873e+01    2.627586e-04
3.079006e+01    2.553864e-04
3.138259e+01    2.487913e-04
3.198651e+01    2.421988e-04
3.260206e+01    2.363006e-04
3.322945e+01    2.299353e-04
3.386892e+01    2.234974e-04
3.452069e+01    2.183980e-04
3.518500e+01    2.123363e-04
3.586210e+01    2.066621e-04
3.655223e+01    2.011994e-04
3.725564e+01    1.955414e-04
3.797259e+01    1.907903e-04
3.944814e+01    1.803868e-04
4.020727e+01    1.760562e-04
4.098102e+01    1.712741e-04
4.176966e+01    1.666015e-04
4.257347e+01    1.622037e-04
4.339275e+01    1.578836e-04
4.422780e+01    1.534357e-04
4.507892e+01    1.494556e-04
4.594642e+01    1.456519e-04
4.773181e+01    1.375746e-04
4.865036e+01    1.337070e-04
5.054083e+01    1.265870e-04
5.151344e+01    1.233760e-04
5.250476e+01    1.196930e-04
5.351516e+01    1.166163e-04
5.454500e+01    1.133692e-04
5.559466e+01    1.099079e-04
5.666453e+01    1.071704e-04
5.775498e+01    1.039888e-04
5.886641e+01    1.011337e-04
5.999923e+01    9.828596e-05
6.115386e+01    9.543448e-05
6.233070e+01    9.297584e-05
6.353019e+01    9.020571e-05
6.475276e+01    8.769437e-05
6.599886e+01    8.512379e-05
6.726894e+01    8.277139e-05
6.856346e+01    8.024292e-05
6.988289e+01    7.815512e-05
7.122771e+01    7.574200e-05
7.259842e+01    7.355611e-05
7.399550e+01    7.151034e-05
7.541946e+01    6.944290e-05
7.687083e+01    6.741422e-05
7.835013e+01    6.543974e-05
7.985790e+01    6.347912e-05
8.139468e+01    6.173401e-05
8.296104e+01    5.983479e-05
8.455754e+01    5.818292e-05
8.618476e+01    5.636026e-05
8.784329e+01    5.473666e-05
8.953375e+01    5.311597e-05
9.301287e+01    4.996922e-05
9.480281e+01    4.852050e-05
9.662719e+01    4.697771e-05
9.848668e+01    4.562022e-05
1.003820e+02    4.423920e-05
1.023137e+02    4.281565e-05
1.042826e+02    4.152204e-05
1.062894e+02    4.022806e-05
1.083349e+02    3.903961e-05
1.104196e+02    3.783383e-05
1.125446e+02    3.664431e-05
1.147104e+02    3.554000e-05
1.169178e+02    3.440081e-05
1.191678e+02    3.332960e-05
1.214611e+02    3.228399e-05
1.237985e+02    3.121540e-05
1.261808e+02    3.026289e-05
1.286090e+02    2.930886e-05
1.310840e+02    2.833295e-05
1.336066e+02    2.747493e-05
1.361777e+02    2.658436e-05
1.387983e+02    2.572207e-05
1.414693e+02    2.487751e-05
1.441917e+02    2.403465e-05
1.469666e+02    2.325297e-05
1.497948e+02    2.252985e-05
1.526774e+02    2.176444e-05
1.556155e+02    2.105500e-05
1.586102e+02    2.034232e-05
1.616625e+02    1.966205e-05
1.647735e+02    1.898025e-05
1.679444e+02    1.837655e-05
1.711763e+02    1.774371e-05
1.744704e+02    1.715670e-05
1.778279e+02    1.655238e-05
1.812501e+02    1.599522e-05
1.882931e+02    1.490586e-05
1.919166e+02    1.437604e-05
1.956099e+02    1.388092e-05
1.993742e+02    1.337000e-05
2.032109e+02    1.293145e-05
2.111073e+02    1.201496e-05
2.151699e+02    1.159467e-05
2.193106e+02    1.116559e-05
2.235310e+02    1.077418e-05
2.278326e+02    1.035922e-05
2.366858e+02    9.608764e-06
2.412406e+02    9.266748e-06
2.458830e+02    8.912557e-06
2.506147e+02    8.578069e-06
2.554376e+02    8.245910e-06
2.603532e+02    7.941288e-06
2.653634e+02    7.641261e-06
2.704701e+02    7.347187e-06
2.756750e+02    7.051174e-06
2.809801e+02    6.801178e-06
2.863872e+02    6.520838e-06
2.918984e+02    6.283279e-06
3.032411e+02    5.788402e-06
3.090767e+02    5.548034e-06
3.150245e+02    5.318515e-06
3.210868e+02    5.112198e-06
3.272658e+02    4.893923e-06
3.335637e+02    4.694931e-06
3.399828e+02    4.501101e-06
3.465254e+02    4.317527e-06
3.531939e+02    4.132586e-06
3.599908e+02    3.960744e-06
3.669184e+02    3.789620e-06
3.739794e+02    3.626825e-06
3.811762e+02    3.475042e-06
3.885116e+02    3.320255e-06
3.959881e+02    3.177200e-06
4.036085e+02    3.033212e-06
4.113755e+02    2.898900e-06
4.192920e+02    2.770912e-06
4.273608e+02    2.644695e-06
4.355849e+02    2.524541e-06
4.439673e+02    2.406856e-06
4.525110e+02    2.298761e-06
4.612191e+02    2.193818e-06
4.791413e+02    1.991613e-06
4.883618e+02    1.897370e-06
4.977599e+02    1.802840e-06
5.073387e+02    1.715770e-06
5.171019e+02    1.630799e-06
5.270530e+02    1.549181e-06
5.371956e+02    1.473906e-06
5.475334e+02    1.398096e-06
5.580701e+02    1.328261e-06
5.688096e+02    1.259659e-06
5.797557e+02    1.193753e-06
5.909125e+02    1.131677e-06
6.022840e+02    1.071764e-06
6.138743e+02    1.014228e-06
6.256877e+02    9.615615e-07
6.500008e+02    8.590649e-07
6.625094e+02    8.119578e-07
6.752587e+02    7.658080e-07
6.882534e+02    7.219942e-07
7.014981e+02    6.806370e-07
7.149977e+02    6.409050e-07
7.287571e+02    6.044789e-07
7.427812e+02    5.686677e-07
7.570753e+02    5.346969e-07
7.716444e+02    5.028740e-07
7.864939e+02    4.712432e-07
8.016292e+02    4.422039e-07
8.170557e+02    4.146284e-07
8.327791e+02    3.878655e-07
8.488050e+02    3.634748e-07
8.817881e+02    3.173340e-07
8.987572e+02    2.963524e-07
9.160528e+02    2.759900e-07
9.336813e+02    2.571443e-07
9.516491e+02    2.392009e-07
9.699626e+02    2.222161e-07
1.027045e+03    1.771511e-07
1.046809e+03    1.641313e-07
