# W [GeV]    S_yy [GeV^-1]
1.000000e+01    7.854266e-04
1.015366e+01    7.697511e-04
1.046809e+01    7.403248e-04
1.062894e+01    7.274851e-04
1.079226e+01    7.115714e-04
1.095810e+01    6.968639e-04
1.112648e+01    6.827979e-04
1.129744e+01    6.689100e-04
1.147104e+01    6.562531e-04
1.164730e+01    6.416010e-04
1.182627e+01    6.271611e-04
1.200799e+01    6.153831e-04
1.219250e+01    6.031042e-04
1.237985e+01    5.894510e-04
1.257007e+01    5.767244e-04
1.276322e+01    5.661376e-04
1.295934e+01    5.536898e-04
1.315847e+01    5.408202e-04
1.336066e+01    5.299964e-04
1.356595e+01    5.198087e-04
1.377440e+01    5.073081e-04
1.398606e+01    4.981529e-04
1.420097e+01    4.869834e-04
1.441917e+01    4.761150e-04
1.464074e+01    4.656794e-04
1.486570e+01    4.557508e-04
1.532606e+01    4.365699e-04
1.556155e+01    4.271603e-04
1.580067e+01    4.177827e-04
1.604346e+01    4.088104e-04
1.628998e+01    3.995370e-04
1.654029e+01    3.906063e-04
1.679444e+01    3.826942e-04
1.705250e+01    3.738165e-04
1.731453e+01    3.654526e-04
1.758058e+01    3.569691e-04
1.785072e+01    3.500317e-04
1.840351e+01    3.335933e-04
1.868629e+01    3.270706e-04
1.897342e+01    3.186758e-04
1.926496e+01    3.117341e-04
1.956099e+01    3.049282e-04
1.986155e+01    2.972146e-04
2.016674e+01    2.912575e-04
2.079126e+01    2.781194e-04
2.111073e+01    2.716298e-04
2.143512e+01    2.650186e-04
2.209891e+01    2.530209e-04
2.278326e+01    2.414891e-04
2.313334e+01    2.358485e-04
2.348881e+01    2.301315e-04
2.384973e+01    2.248729e-04
2.421620e+01    2.201698e-04
2.458830e+01    2.146467e-04
2.496612e+01    2.091083e-04
2.534974e+01    2.044706e-04
2.573926e+01    1.993882e-04
2.613476e+01    1.953339e-04
2.653634e+01    1.906323e-04
2.694409e+01    1.857666e-04
2.735811e+01    1.814624e-04
2.777849e+01    1.769246e-04
2.820533e+01    1.725919e-04
2.863872e+01    1.685777e-04
2.907878e+01    1.645484e-04
2.952560e+01    1.604490e-04
3.043993e+01    1.527348e-04
3.090767e+01    1.489563e-04
3.138259e+01    1.452091e-04
3.186480e+01    1.415925e-04
3.235443e+01    1.382337e-04
3.285158e+01    1.349991e-04
3.335637e+01    1.315092e-04
3.386892e+01    1.285416e-04
3.491776e+01    1.221246e-04
3.545430e+01    1.189331e-04
3.599908e+01    1.159101e-04
3.655223e+01    1.130251e-04
3.711389e+01    1.101605e-04
3.768417e+01    1.073237e-04
3.826321e+01    1.045430e-04
3.885116e+01    1.018017e-04
3.944814e+01    9.916811e-05
4.005429e+01    9.692112e-05
4.066975e+01    9.419865e-05
4.129467e+01    9.159518e-05
4.192920e+01    8.930545e-05
4.257347e+01    8.711103e-05
4.322765e+01    8.495638e-05
4.389187e+01    8.252967e-05
4.456630e+01    8.044880e-05
4.594642e+01    7.626480e-05
4.665242e+01    7.436066e-05
4.809713e+01    7.035638e-05
4.883618e+01    6.856429e-05
4.958659e+01    6.666503e-05
5.112217e+01    6.310648e-05
5.190770e+01    6.142282e-05
5.270530e+01    5.971189e-05
5.351516e+01    5.803560e-05
5.517240e+01    5.489636e-05
5.602016e+01    5.355559e-05
5.688096e+01    5.194799e-05
5.775498e+01    5.054254e-05
5.864242e+01    4.907898e-05
5.954351e+01    4.779477e-05
6.045844e+01    4.654102e-05
6.138743e+01    4.506992e-05
6.328846e+01    4.264705e-05
6.524835e+01    4.030353e-05
6.625094e+01    3.913667e-05
6.726894e+01    3.794386e-05
6.830258e+01    3.687892e-05
6.935210e+01    3.578993e-05
7.041775e+01    3.480918e-05
7.149977e+01    3.376225e-05
