# W [GeV]    S_yy [GeV^-1]
1.000000e+01    1.071109e-03
1.010765e+01    1.060377e-03
1.021646e+01    1.045149e-03
1.032643e+01    1.028547e-03
1.043760e+01    1.015306e-03
1.054996e+01    1.001201e-03
1.066352e+01    9.856716e-04
1.077831e+01    9.711526e-04
1.089434e+01    9.597520e-04
1.101162e+01    9.486784e-04
1.124997e+01    9.181343e-04
1.137107e+01    9.071034e-04
1.149348e+01    8.941061e-04
1.161721e+01    8.792800e-04
1.174226e+01    8.675347e-04
1.186867e+01    8.547476e-04
1.199643e+01    8.425615e-04
1.212557e+01    8.314422e-04
1.225610e+01    8.184363e-04
1.238804e+01    8.085729e-04
1.252139e+01    7.937328e-04
1.265618e+01    7.826280e-04
1.279242e+01    7.718804e-04
1.293013e+01    7.607535e-04
1.306932e+01    7.505469e-04
1.321001e+01    7.382647e-04
1.335222e+01    7.275078e-04
1.349595e+01    7.175105e-04
1.364123e+01    7.056056e-04
1.393650e+01    6.861538e-04
1.408653e+01    6.741608e-04
1.423817e+01    6.631375e-04
1.439144e+01    6.549003e-04
1.454636e+01    6.446993e-04
1.470295e+01    6.351241e-04
1.486122e+01    6.254287e-04
1.502120e+01    6.153728e-04
1.518290e+01    6.059533e-04
1.534635e+01    5.977397e-04
1.551155e+01    5.872838e-04
1.584730e+01    5.694736e-04
1.601790e+01    5.600252e-04
1.619033e+01    5.526250e-04
1.636461e+01    5.431088e-04
1.654077e+01    5.352015e-04
1.671883e+01    5.272536e-04
1.689881e+01    5.180860e-04
1.708072e+01    5.089906e-04
1.726459e+01    5.025089e-04
1.745044e+01    4.948920e-04
1.782817e+01    4.789039e-04
1.802008e+01    4.706325e-04
1.821407e+01    4.632330e-04
1.841014e+01    4.558989e-04
1.860832e+01    4.482728e-04
1.880864e+01    4.419691e-04
1.901111e+01    4.347483e-04
1.921576e+01    4.274824e-04
1.942261e+01    4.207779e-04
1.963170e+01    4.134779e-04
1.984303e+01    4.070277e-04
2.005663e+01    4.000980e-04
2.027254e+01    3.932044e-04
2.049077e+01    3.874777e-04
2.071135e+01    3.804660e-04
2.093431e+01    3.741296e-04
2.115966e+01    3.680875e-04
2.138744e+01    3.622668e-04
2.161767e+01    3.559496e-04
2.185038e+01    3.491841e-04
2.232335e+01    3.389522e-04
2.256365e+01    3.326791e-04
2.280655e+01    3.265565e-04
2.305206e+01    3.214537e-04
2.330021e+01    3.160264e-04
2.355103e+01    3.098810e-04
2.380455e+01    3.051004e-04
2.406081e+01    3.000165e-04
2.431982e+01    2.944342e-04
2.458162e+01    2.890280e-04
2.484623e+01    2.843070e-04
2.511370e+01    2.799438e-04
2.538404e+01    2.746610e-04
2.565730e+01    2.703556e-04
2.593349e+01    2.651534e-04
2.621266e+01    2.606361e-04
2.649484e+01    2.555504e-04
2.678005e+01    2.512996e-04
2.706833e+01    2.467495e-04
2.735972e+01    2.427015e-04
2.765424e+01    2.383553e-04
2.795194e+01    2.339381e-04
2.825284e+01    2.302196e-04
2.855697e+01    2.257463e-04
2.886438e+01    2.218556e-04
2.917510e+01    2.176881e-04
2.948917e+01    2.136244e-04
2.980661e+01    2.100066e-04
3.012748e+01    2.059741e-04
3.045180e+01    2.024573e-04
3.077960e+01    1.984603e-04
3.111094e+01    1.948183e-04
3.144585e+01    1.911620e-04
3.178435e+01    1.880688e-04
3.212651e+01    1.842859e-04
3.247234e+01    1.807190e-04
3.282190e+01    1.773885e-04
3.317523e+01    1.744684e-04
3.353235e+01    1.707388e-04
3.389332e+01    1.678206e-04
3.425818e+01    1.643560e-04
3.462696e+01    1.615209e-04
3.499972e+01    1.584593e-04
3.537648e+01    1.553932e-04
3.575730e+01    1.521398e-04
3.614223e+01    1.496907e-04
3.653129e+01    1.468724e-04
