# W [GeV]    S_yy [GeV^-1]
1.000000e+01    6.871698e-04
1.047129e+01    6.287270e-04
1.096478e+01    6.158083e-04
1.148154e+01    5.602130e-04
1.202264e+01    5.508139e-04
1.258925e+01    4.846540e-04
1.318257e+01    4.888751e-04
1.380384e+01    4.287024e-04
1.445440e+01    4.308422e-04
1.513561e+01    3.819386e-04
1.584893e+01    3.815510e-04
1.659587e+01    3.400275e-04
1.737801e+01    3.394176e-04
1.819701e+01    2.997295e-04
1.905461e+01    2.977174e-04
1.995262e+01    2.641242e-04
2.089296e+01    2.633641e-04
2.187762e+01    2.329524e-04
2.290868e+01    2.308677e-04
2.398833e+01    2.051246e-04
2.511886e+01    2.007966e-04
2.630268e+01    1.796095e-04
2.754229e+01    1.742542e-04
2.884032e+01    1.547552e-04
3.019952e+01    1.508322e-04
3.162278e+01    1.326373e-04
3.311311e+01    1.307140e-04
3.467369e+01    1.152112e-04
3.630781e+01    1.116192e-04
3.801894e+01    9.993318e-05
3.981072e+01    9.574469e-05
4.168694e+01    8.536039e-05
4.365158e+01    7.688373e-05
4.570882e+01    7.400494e-05
4.786301e+01    6.597316e-05
5.011872e+01    6.269531e-05
5.248075e+01    5.631653e-05
5.495409e+01    5.336155e-05
5.754399e+01    4.742648e-05
6.025596e+01    4.538991e-05
6.309573e+01    4.039854e-05
6.606934e+01    3.843876e-05
6.918310e+01    3.419960e-05
7.244360e+01    3.254021e-05
7.585776e+01    2.881355e-05
7.943282e+01    2.720825e-05
8.317638e+01    2.414119e-05
8.709636e+01    2.262923e-05
9.120108e+01    2.007583e-05
9.549926e+01    1.869954e-05
1.000000e+02    1.670150e-05
1.047129e+02    1.541605e-05
1.096478e+02    1.377542e-05
1.148154e+02    1.261505e-05
1.202264e+02    1.126442e-05
1.258925e+02    1.025370e-05
1.318257e+02    9.160166e-06
1.380384e+02    8.265615e-06
1.445440e+02    7.354747e-06
1.513561e+02    6.632918e-06
1.584893e+02    5.876436e-06
1.659587e+02    5.257417e-06
1.737801e+02    4.652081e-06
1.819701e+02    4.137237e-06
1.905461e+02    3.605779e-06
1.995262e+02    3.259444e-06
2.089296e+02    2.786983e-06
2.187762e+02    2.506393e-06
2.290868e+02    2.135843e-06
2.398833e+02    1.894938e-06
2.511886e+02    1.610365e-06
2.630268e+02    1.420700e-06
2.754229e+02    1.198762e-06
2.884032e+02    1.044541e-06
3.019952e+02    8.728335e-07
3.162278e+02    7.476698e-07
3.311311e+02    6.188306e-07
3.467369e+02    5.239716e-07
3.630781e+02    4.271167e-07
3.801894e+02    3.566607e-07
3.981072e+02    2.875011e-07
4.168694e+02    2.346859e-07
4.365158e+02    1.853959e-07
4.570882e+02    1.492146e-07
4.786301e+02    1.140997e-07
5.011872e+02    9.058103e-08
5.248075e+02    6.701738e-08
5.495409e+02    5.156356e-08
5.754399e+02    3.633916e-08
6.025596e+02    2.686399e-08
6.309573e+02    1.800780e-08
6.606934e+02    1.253599e-08
6.918310e+02    7.952039e-09
7.244360e+02    5.074163e-09
7.585776e+02    2.956588e-09
7.943282e+02    1.652835e-09
8.317638e+02    8.189452e-10
8.709636e+02    3.811566e-10
9.120108e+02    1.396365e-10
9.549926e+02    4.340304e-11
1.000000e+03    8.897573e-12
