# W [GeV]    S_yy [GeV^-1]
1.000000e+01    6.498794e-04
1.047129e+01    6.082564e-04
1.096478e+01    5.684364e-04
1.148154e+01    5.349001e-04
1.202264e+01    5.011594e-04
1.258925e+01    4.666991e-04
1.318257e+01    4.374541e-04
1.380384e+01    4.081622e-04
1.445440e+01    3.810866e-04
1.513561e+01    3.568796e-04
1.584893e+01    3.315952e-04
1.659587e+01    3.100088e-04
1.737801e+01    2.862227e-04
1.819701e+01    2.677646e-04
1.905461e+01    2.495163e-04
1.995262e+01    2.326780e-04
2.089296e+01    2.157379e-04
2.187762e+01    2.002890e-04
2.290868e+01    1.860947e-04
2.398833e+01    1.738812e-04
2.511886e+01    1.613178e-04
2.630268e+01    1.505543e-04
2.754229e+01    1.389911e-04
2.884032e+01    1.290419e-04
3.019952e+01    1.201418e-04
3.162278e+01    1.115575e-04
3.311311e+01    1.027234e-04
3.467369e+01    9.533029e-05
3.630781e+01    8.836580e-05
3.801894e+01    8.175193e-05
3.981072e+01    7.568420e-05
4.168694e+01    6.957565e-05
4.365158e+01    6.418182e-05
4.570882e+01    5.930948e-05
4.786301e+01    5.471109e-05
5.011872e+01    5.036473e-05
5.248075e+01    4.636047e-05
5.495409e+01    4.262006e-05
5.754399e+01    3.914359e-05
6.025596e+01    3.603909e-05
6.309573e+01    3.300005e-05
6.606934e+01    3.009174e-05
6.918310e+01    2.744298e-05
7.244360e+01    2.507551e-05
7.585776e+01    2.291595e-05
7.943282e+01    2.092237e-05
8.317638e+01    1.904478e-05
8.709636e+01    1.726628e-05
9.120108e+01    1.563613e-05
9.549926e+01    1.419508e-05
1.000000e+02    1.288224e-05
1.047129e+02    1.169994e-05
1.096478e+02    1.056765e-05
1.148154e+02    9.485833e-06
1.202264e+02    8.533207e-06
1.258925e+02    7.634183e-06
1.318257e+02    6.836061e-06
1.380384e+02    6.107588e-06
1.445440e+02    5.448915e-06
1.513561e+02    4.869955e-06
1.584893e+02    4.326491e-06
1.659587e+02    3.830757e-06
1.737801e+02    3.389884e-06
1.819701e+02    2.988243e-06
1.905461e+02    2.620374e-06
1.995262e+02    2.300934e-06
2.089296e+02    2.014434e-06
2.187762e+02    1.751516e-06
2.290868e+02    1.521681e-06
2.398833e+02    1.315221e-06
2.511886e+02    1.137957e-06
2.630268e+02    9.783819e-07
2.754229e+02    8.391454e-07
2.884032e+02    7.117446e-07
3.019952e+02    6.020568e-07
3.162278e+02    5.041213e-07
3.311311e+02    4.239220e-07
3.467369e+02    3.521315e-07
3.630781e+02    2.903768e-07
3.801894e+02    2.381379e-07
3.981072e+02    1.939514e-07
4.168694e+02    1.569426e-07
4.365158e+02    1.253692e-07
4.570882e+02    9.911398e-08
4.786301e+02    7.674991e-08
5.011872e+02    5.885280e-08
5.248075e+02    4.457600e-08
5.495409e+02    3.332946e-08
5.754399e+02    2.434919e-08
6.025596e+02    1.745241e-08
6.309573e+02    1.203854e-08
6.606934e+02    8.050919e-09
6.918310e+02    5.210927e-09
7.244360e+02    3.249869e-09
7.585776e+02    1.898451e-09
7.943282e+02    1.045618e-09
8.317638e+02    5.275812e-10
8.709636e+02    2.339030e-10
9.120108e+02    9.361832e-11
9.549926e+02    2.824880e-11
1.000000e+03    5.400381e-12
