# W [GeV]    S_yy [GeV^-1]
1.000000e+01    0.000000e+00
1.047129e+01    0.000000e+00
1.096478e+01    0.000000e+00
1.148154e+01    0.000000e+00
1.202264e+01    0.000000e+00
1.258925e+01    0.000000e+00
1.318257e+01    0.000000e+00
1.380384e+01    0.000000e+00
1.445440e+01    0.000000e+00
1.513561e+01    0.000000e+00
1.584893e+01    0.000000e+00
1.659587e+01    0.000000e+00
1.737801e+01    0.000000e+00
1.819701e+01    0.000000e+00
1.905461e+01    0.000000e+00
1.995262e+01    0.000000e+00
2.089296e+01    0.000000e+00
2.187762e+01    0.000000e+00
2.290868e+01    0.000000e+00
2.398833e+01    0.000000e+00
2.511886e+01    0.000000e+00
2.630268e+01    0.000000e+00
2.754229e+01    0.000000e+00
2.884032e+01    0.000000e+00
3.019952e+01    0.000000e+00
3.162278e+01    0.000000e+00
3.311311e+01    0.000000e+00
3.467369e+01    0.000000e+00
3.630781e+01    0.000000e+00
3.801894e+01    0.000000e+00
3.981072e+01    0.000000e+00
4.168694e+01    0.000000e+00
4.365158e+01    0.000000e+00
4.570882e+01    0.000000e+00
4.786301e+01    0.000000e+00
5.011872e+01    0.000000e+00
5.248075e+01    0.000000e+00
5.495409e+01    0.000000e+00
5.754399e+01    0.000000e+00
6.025596e+01    0.000000e+00
6.309573e+01    0.000000e+00
6.606934e+01    0.000000e+00
6.918310e+01    0.000000e+00
7.244360e+01    0.000000e+00
7.585776e+01    0.000000e+00
7.943282e+01    0.000000e+00
8.317638e+01    0.000000e+00
8.709636e+01    0.000000e+00
9.120108e+01    0.000000e+00
9.549926e+01    0.000000e+00
1.000000e+02    0.000000e+00
1.047129e+02    0.000000e+00
1.096478e+02    0.000000e+00
1.148154e+02    0.000000e+00
1.202264e+02    0.000000e+00
1.258925e+02    0.000000e+00
1.318257e+02    0.000000e+00
1.380384e+02    0.000000e+00
1.445440e+02    0.000000e+00
1.513561e+02    0.000000e+00
1.584893e+02    0.000000e+00
1.659587e+02    0.000000e+00
1.737801e+02    0.000000e+00
1.819701e+02    0.000000e+00
1.905461e+02    0.000000e+00
1.995262e+02    0.000000e+00
2.089296e+02    0.000000e+00
2.187762e+02    0.000000e+00
2.290868e+02    0.000000e+00
2.398833e+02    0.000000e+00
2.511886e+02    0.000000e+00
2.630268e+02    0.000000e+00
2.754229e+02    0.000000e+00
2.884032e+02    0.000000e+00
3.019952e+02    0.000000e+00
3.162278e+02    0.000000e+00
3.311311e+02    0.000000e+00
3.467369e+02    0.000000e+00
3.630781e+02    0.000000e+00
3.801894e+02    0.000000e+00
3.981072e+02    0.000000e+00
4.168694e+02    0.000000e+00
4.365158e+02    0.000000e+00
4.570882e+02    0.000000e+00
4.786301e+02    0.000000e+00
5.011872e+02    0.000000e+00
5.248075e+02    0.000000e+00
5.495409e+02    0.000000e+00
5.754399e+02    0.000000e+00
6.025596e+02    0.000000e+00
6.309573e+02    0.000000e+00
6.606934e+02    0.000000e+00
6.918310e+02    0.000000e+00
7.244360e+02    0.000000e+00
7.585776e+02    0.000000e+00
7.943282e+02    0.000000e+00
8.317638e+02    0.000000e+00
8.709636e+02    0.000000e+00
9.120108e+02    0.000000e+00
9.549926e+02    0.000000e+00
1.000000e+03    0.000000e+00
