# W [GeV]    S_yy [GeV^-1]
1.000000e+01    1.078737e-03
1.017597e+01    1.052221e-03
1.035503e+01    1.026317e-03
1.053725e+01    1.001012e-03
1.072267e+01    9.762925e-04
1.091136e+01    9.521453e-04
1.110336e+01    9.285581e-04
1.129875e+01    9.055184e-04
1.149757e+01    8.830141e-04
1.169989e+01    8.610334e-04
1.190577e+01    8.395647e-04
1.211528e+01    8.185966e-04
1.232847e+01    7.981181e-04
1.254541e+01    7.781183e-04
1.276617e+01    7.585866e-04
1.299081e+01    7.395125e-04
1.321941e+01    7.208859e-04
1.345203e+01    7.026968e-04
1.368875e+01    6.849368e-04
1.392962e+01    6.675900e-04
1.417474e+01    6.506584e-04
1.442417e+01    6.341240e-04
1.467799e+01    6.179806e-04
1.493628e+01    6.022191e-04
1.519911e+01    5.868313e-04
1.546657e+01    5.718087e-04
1.573873e+01    5.571430e-04
1.601568e+01    5.428264e-04
1.629751e+01    5.288509e-04
1.658429e+01    5.152089e-04
1.687612e+01    5.018928e-04
1.717309e+01    4.888954e-04
1.747528e+01    4.762094e-04
1.778279e+01    4.638279e-04
1.809572e+01    4.517439e-04
1.841414e+01    4.399507e-04
1.873817e+01    4.284418e-04
1.906791e+01    4.172107e-04
1.940344e+01    4.062510e-04
1.974488e+01    3.955556e-04
2.009233e+01    3.851216e-04
2.044589e+01    3.749403e-04
2.080568e+01    3.650065e-04
2.117179e+01    3.553146e-04
2.154435e+01    3.458593e-04
2.192346e+01    3.366350e-04
2.230924e+01    3.276366e-04
2.270182e+01    3.188589e-04
2.310130e+01    3.102967e-04
2.350781e+01    3.019452e-04
2.392147e+01    2.937995e-04
2.434241e+01    2.858550e-04
2.477076e+01    2.781069e-04
2.520665e+01    2.705507e-04
2.565021e+01    2.631821e-04
2.610157e+01    2.559967e-04
2.656088e+01    2.489902e-04
2.702827e+01    2.421586e-04
2.750388e+01    2.354978e-04
2.798786e+01    2.290032e-04
2.848036e+01    2.226727e-04
2.898152e+01    2.165008e-04
2.949151e+01    2.104844e-04
3.001047e+01    2.046198e-04
3.053856e+01    1.989035e-04
3.107594e+01    1.933321e-04
3.162278e+01    1.879021e-04
3.217924e+01    1.826102e-04
3.274549e+01    1.774533e-04
3.332171e+01    1.724281e-04
3.390807e+01    1.675315e-04
3.450474e+01    1.627605e-04
3.511192e+01    1.581122e-04
3.572978e+01    1.535836e-04
3.635851e+01    1.491720e-04
3.699830e+01    1.448745e-04
3.764936e+01    1.406885e-04
3.831187e+01    1.366113e-04
3.898604e+01    1.326403e-04
3.967207e+01    1.287727e-04
4.037017e+01    1.250069e-04
4.108056e+01    1.213397e-04
4.180345e+01    1.177689e-04
4.253906e+01    1.142922e-04
4.328761e+01    1.109074e-04
4.404934e+01    1.076123e-04
