# W [GeV]    S_yy [GeV^-1]
1.000000e+01    1.955387e-03
1.047129e+01    1.818896e-03
1.096478e+01    1.691431e-03
1.148154e+01    1.572422e-03
1.202264e+01    1.461333e-03
1.258925e+01    1.357661e-03
1.318257e+01    1.260933e-03
1.380384e+01    1.170708e-03
1.445440e+01    1.086567e-03
1.513561e+01    1.008122e-03
1.584893e+01    9.350049e-04
1.659587e+01    8.668723e-04
1.737801e+01    8.034019e-04
1.819701e+01    7.442909e-04
1.905461e+01    6.892557e-04
1.995262e+01    6.380304e-04
2.089296e+01    5.903653e-04
2.187762e+01    5.460252e-04
2.290868e+01    5.047959e-04
2.398833e+01    4.664670e-04
2.511886e+01    4.308477e-04
2.630268e+01    3.977578e-04
2.754229e+01    3.670286e-04
2.884032e+01    3.385018e-04
3.019952e+01    3.120295e-04
3.162278e+01    2.874731e-04
3.311311e+01    2.647028e-04
3.467369e+01    2.435973e-04
3.630781e+01    2.240431e-04
3.801894e+01    2.059338e-04
3.981072e+01    1.891701e-04
4.168694e+01    1.736591e-04
4.365158e+01    1.593140e-04
4.570882e+01    1.460535e-04
4.786301e+01    1.338018e-04
5.011872e+01    1.224880e-04
5.248075e+01    1.120460e-04
5.495409e+01    1.024138e-04
5.754399e+01    9.353374e-05
6.025596e+01    8.535198e-05
6.309573e+01    7.781824e-05
6.606934e+01    7.088557e-05
6.918310e+01    6.451026e-05
7.244360e+01    5.867454e-05
7.585776e+01    5.327126e-05
7.943282e+01    4.833412e-05
8.317638e+01    4.380705e-05
8.709636e+01    3.965934e-05
9.120108e+01    3.586232e-05
9.549926e+01    3.238937e-05
1.000000e+02    2.921567e-05
1.047129e+02    2.631821e-05
1.096478e+02    2.367550e-05
1.148154e+02    2.126761e-05
1.202264e+02    1.907605e-05
1.258925e+02    1.708359e-05
1.318257e+02    1.527428e-05
1.380384e+02    1.363330e-05
1.445440e+02    1.214690e-05
1.513561e+02    1.080233e-05
1.584893e+02    9.587781e-06
1.659587e+02    8.492322e-06
1.737801e+02    7.505812e-06
1.819701e+02    6.618882e-06
1.905461e+02    5.822865e-06
1.995262e+02    5.109750e-06
2.089296e+02    4.472144e-06
2.187762e+02    3.903206e-06
2.290868e+02    3.396643e-06
2.398833e+02    2.946645e-06
2.511886e+02    2.547877e-06
2.630268e+02    2.195407e-06
2.754229e+02    1.884723e-06
2.884032e+02    1.611666e-06
3.019952e+02    1.372409e-06
3.162278e+02    1.163472e-06
3.311311e+02    9.816690e-07
3.467369e+02    8.240457e-07
3.630781e+02    6.879492e-07
3.801894e+02    5.709468e-07
3.981072e+02    4.708245e-07
4.168694e+02    3.855723e-07
4.365158e+02    3.133692e-07
4.570882e+02    2.525698e-07
4.786301e+02    2.016919e-07
5.011872e+02    1.594053e-07
5.248075e+02    1.245209e-07
5.495409e+02    9.598071e-08
5.754399e+02    7.284852e-08
6.025596e+02    5.430046e-08
6.309573e+02    3.961561e-08
6.606934e+02    2.816622e-08
6.918310e+02    1.940739e-08
7.244360e+02    1.286602e-08
7.585776e+02    8.129693e-09
7.943282e+02    4.835957e-09
8.317638e+02    2.663718e-09
8.709636e+02    1.328140e-09
9.120108e+02    5.803365e-10
9.549926e+02    2.115465e-10
1.000000e+03    5.925439e-11
