# W [GeV]    S_yy [GeV^-1]
1.000000e+01    1.772328e-03
1.047129e+01    1.654137e-03
1.096478e+01    1.543379e-03
1.148154e+01    1.439607e-03
1.202264e+01    1.342399e-03
1.258925e+01    1.251361e-03
1.318257e+01    1.166115e-03
1.380384e+01    1.086318e-03
1.445440e+01    1.011630e-03
1.513561e+01    9.417412e-04
1.584893e+01    8.763605e-04
1.659587e+01    8.152105e-04
1.737801e+01    7.580350e-04
1.819701e+01    7.045857e-04
1.905461e+01    6.546340e-04
1.995262e+01    6.079624e-04
2.089296e+01    5.643704e-04
2.187762e+01    5.236616e-04
2.290868e+01    4.856609e-04
2.398833e+01    4.501950e-04
2.511886e+01    4.171075e-04
2.630268e+01    3.862485e-04
2.754229e+01    3.574782e-04
2.884032e+01    3.306622e-04
3.019952e+01    3.056816e-04
3.162278e+01    2.824108e-04
3.311311e+01    2.607490e-04
3.467369e+01    2.405904e-04
3.630781e+01    2.218398e-04
3.801894e+01    2.044049e-04
3.981072e+01    1.882025e-04
4.168694e+01    1.731523e-04
4.365158e+01    1.591802e-04
4.570882e+01    1.462141e-04
4.786301e+01    1.341905e-04
5.011872e+01    1.230459e-04
5.248075e+01    1.127238e-04
5.495409e+01    1.031692e-04
5.754399e+01    9.433126e-05
6.025596e+01    8.616237e-05
6.309573e+01    7.861708e-05
6.606934e+01    7.165369e-05
6.918310e+01    6.523276e-05
7.244360e+01    5.931715e-05
7.585776e+01    5.387220e-05
7.943282e+01    4.886509e-05
8.317638e+01    4.426549e-05
8.709636e+01    4.004402e-05
9.120108e+01    3.617445e-05
9.549926e+01    3.263129e-05
1.000000e+02    2.939071e-05
1.047129e+02    2.643055e-05
1.096478e+02    2.372983e-05
1.148154e+02    2.126940e-05
1.202264e+02    1.903083e-05
1.258925e+02    1.699702e-05
1.318257e+02    1.515213e-05
1.380384e+02    1.348094e-05
1.445440e+02    1.196953e-05
1.513561e+02    1.060522e-05
1.584893e+02    9.375728e-06
1.659587e+02    8.269616e-06
1.737801e+02    7.276648e-06
1.819701e+02    6.386868e-06
1.905461e+02    5.591303e-06
1.995262e+02    4.881276e-06
2.089296e+02    4.249401e-06
2.187762e+02    3.688143e-06
2.290868e+02    3.190937e-06
2.398833e+02    2.751646e-06
2.511886e+02    2.364613e-06
2.630268e+02    2.024518e-06
2.754229e+02    1.726672e-06
2.884032e+02    1.466628e-06
3.019952e+02    1.240072e-06
3.162278e+02    1.043782e-06
3.311311e+02    8.741361e-07
3.467369e+02    7.281337e-07
3.630781e+02    6.030682e-07
3.801894e+02    4.964927e-07
3.981072e+02    4.059143e-07
4.168694e+02    3.294267e-07
4.365158e+02    2.652378e-07
4.570882e+02    2.117048e-07
4.786301e+02    1.673444e-07
5.011872e+02    1.309045e-07
5.248075e+02    1.011070e-07
5.495409e+02    7.705488e-08
5.754399e+02    5.774513e-08
6.025596e+02    4.249005e-08
6.309573e+02    3.058966e-08
6.606934e+02    2.144625e-08
6.918310e+02    1.455258e-08
7.244360e+02    9.490420e-09
7.585776e+02    5.889694e-09
7.943282e+02    3.435791e-09
8.317638e+02    1.851522e-09
8.709636e+02    9.004905e-10
9.120108e+02    3.825084e-10
9.549926e+02    1.347747e-10
1.000000e+03    3.617782e-11
